dim,icc,rho_arat,rho_fma,cohens_d,abs_d,stream
0,0.9718973,0.6610756464829283,0.6584921663122337,-1.2103010416030884,1.2103010416030884,acc_mean
1,0.9777009,0.6171890976537258,0.6176112838763811,-1.1485328674316406,1.1485328674316406,acc_mean
2,0.95461583,0.6240493955176037,0.6321595635552291,-1.0700000524520874,1.0700000524520874,acc_mean
3,0.97405046,-0.2570931467987544,-0.28085789554365276,0.847471296787262,0.847471296787262,acc_mean
4,0.9139207,-0.3811360043374944,-0.34272133827328055,-0.014952186495065689,0.014952186495065689,acc_mean
5,0.9844889,0.6785051391370921,0.6767169568136013,-1.2330248355865479,1.2330248355865479,acc_mean
6,0.9715697,-0.4487370387961538,-0.4265100562088949,0.48160409927368164,0.48160409927368164,acc_mean
7,0.93172336,0.05495206990964031,0.029725293749515047,0.12919221818447113,0.12919221818447113,acc_mean
8,0.96296626,0.3869122822228813,0.4051152998132258,-1.09101402759552,1.09101402759552,acc_mean
9,0.9666374,0.25804321287990317,0.2835677175718625,-0.777111828327179,0.777111828327179,acc_mean
10,0.98240626,0.5051641501765263,0.5115995505861328,-1.126070499420166,1.126070499420166,acc_mean
11,0.98418045,-0.689370116521509,-0.6863374436945746,1.1361795663833618,1.1361795663833618,acc_mean
12,0.9231333,-0.01883562142626335,-0.05847075173711747,0.4778912663459778,0.4778912663459778,acc_mean
13,0.97085017,0.18962296903749856,0.2134441124326145,-0.9588055610656738,0.9588055610656738,acc_mean
14,0.9819337,-0.6048266240990222,-0.608464087829102,1.2907629013061523,1.2907629013061523,acc_mean
15,0.96860385,0.15444110063557762,0.18276682355846297,-0.741646945476532,0.741646945476532,acc_mean
16,0.97507846,-0.6697485806108399,-0.6506960145238823,0.9628756046295166,0.9628756046295166,acc_mean
17,0.97369117,-0.2390318253571274,-0.26279473540869364,0.8838685750961304,0.8838685750961304,acc_mean
18,0.95814127,0.5811500791688125,0.5461892223486158,-0.5878417491912842,0.5878417491912842,acc_mean
19,0.9712274,-0.11910127503679094,-0.14716792869472028,0.6873409748077393,0.6873409748077393,acc_mean
20,0.9383738,0.5017425185444183,0.46948130649356346,-0.3075389564037323,0.3075389564037323,acc_mean
21,0.9609001,0.46706084793257246,0.443599567390225,-0.3839738368988037,0.3839738368988037,acc_mean
22,0.9551345,-0.08394263563440912,-0.050703987288113136,-0.3651885688304901,0.3651885688304901,acc_mean
23,0.95492005,-0.6792353040226041,-0.6765947673500006,0.9413637518882751,0.9413637518882751,acc_mean
24,0.9719035,0.5650392193884843,0.5442017101875144,-0.8288257122039795,0.8288257122039795,acc_mean
25,0.9796985,-0.6707505247909592,-0.6597712889248645,1.3090670108795166,1.3090670108795166,acc_mean
26,0.9646105,-0.3837314578859954,-0.3952829147485398,1.0763565301895142,1.0763565301895142,acc_mean
27,0.97772235,-0.6892965580229686,-0.6865586220907126,1.207297682762146,1.207297682762146,acc_mean
28,0.93661,0.34222123570964175,0.30508002332491974,0.1935512125492096,0.1935512125492096,acc_mean
29,0.9693929,0.24931685205305174,0.27675526830060104,-0.7684459686279297,0.7684459686279297,acc_mean
30,0.9773144,0.5916271322609267,0.5641309663710096,-0.6662425994873047,0.6662425994873047,acc_mean
31,0.94749385,0.4832708181109341,0.451743727144528,-0.2848913073539734,0.2848913073539734,acc_mean
32,0.96728027,0.5643477695022041,0.5300749068229856,-0.5025583505630493,0.5025583505630493,acc_mean
33,0.97843146,0.44832820840426574,0.4662618461329934,-1.0752304792404175,1.0752304792404175,acc_mean
34,0.94606596,0.316292252124125,0.33037401564131774,-1.2127838134765625,1.2127838134765625,acc_mean
35,0.98332214,-0.6403143409948744,-0.637707583883533,1.256641149520874,1.256641149520874,acc_mean
36,0.96831465,0.6235693295271292,0.6006192149255174,-0.8058136701583862,0.8058136701583862,acc_mean
37,0.9725337,-0.5135862111094156,-0.5298034606095434,1.074733018875122,1.074733018875122,acc_mean
