dim,cohens_d,abs_d,stream
0,-1.2103010416030884,1.2103010416030884,acc_mean
1,-1.1485328674316406,1.1485328674316406,acc_mean
2,-1.0700000524520874,1.0700000524520874,acc_mean
3,0.847471296787262,0.847471296787262,acc_mean
4,-0.014952186495065689,0.014952186495065689,acc_mean
5,-1.2330248355865479,1.2330248355865479,acc_mean
6,0.48160409927368164,0.48160409927368164,acc_mean
7,0.12919221818447113,0.12919221818447113,acc_mean
8,-1.09101402759552,1.09101402759552,acc_mean
9,-0.777111828327179,0.777111828327179,acc_mean
10,-1.126070499420166,1.126070499420166,acc_mean
11,1.1361795663833618,1.1361795663833618,acc_mean
12,0.4778912663459778,0.4778912663459778,acc_mean
13,-0.9588055610656738,0.9588055610656738,acc_mean
14,1.2907629013061523,1.2907629013061523,acc_mean
15,-0.741646945476532,0.741646945476532,acc_mean
16,0.9628756046295166,0.9628756046295166,acc_mean
17,0.8838685750961304,0.8838685750961304,acc_mean
18,-0.5878417491912842,0.5878417491912842,acc_mean
19,0.6873409748077393,0.6873409748077393,acc_mean
20,-0.3075389564037323,0.3075389564037323,acc_mean
21,-0.3839738368988037,0.3839738368988037,acc_mean
22,-0.3651885688304901,0.3651885688304901,acc_mean
23,0.9413637518882751,0.9413637518882751,acc_mean
24,-0.8288257122039795,0.8288257122039795,acc_mean
25,1.3090670108795166,1.3090670108795166,acc_mean
26,1.0763565301895142,1.0763565301895142,acc_mean
27,1.207297682762146,1.207297682762146,acc_mean
28,0.1935512125492096,0.1935512125492096,acc_mean
29,-0.7684459686279297,0.7684459686279297,acc_mean
30,-0.6662425994873047,0.6662425994873047,acc_mean
31,-0.2848913073539734,0.2848913073539734,acc_mean
32,-0.5025583505630493,0.5025583505630493,acc_mean
33,-1.0752304792404175,1.0752304792404175,acc_mean
34,-1.2127838134765625,1.2127838134765625,acc_mean
35,1.256641149520874,1.256641149520874,acc_mean
36,-0.8058136701583862,0.8058136701583862,acc_mean
37,1.074733018875122,1.074733018875122,acc_mean
38,1.0870755910873413,1.0870755910873413,acc_mean
39,-1.2193644046783447,1.2193644046783447,acc_mean
40,-0.07180991768836975,0.07180991768836975,acc_mean
41,1.176926851272583,1.176926851272583,acc_mean
42,-0.9854656457901001,0.9854656457901001,acc_mean
43,-0.869672417640686,0.869672417640686,acc_mean
44,1.2170488834381104,1.2170488834381104,acc_mean
45,-1.0247901678085327,1.0247901678085327,acc_mean
46,-0.4066537618637085,0.4066537618637085,acc_mean
47,1.1681021451950073,1.1681021451950073,acc_mean
48,0.5411986112594604,0.5411986112594604,acc_mean
49,-1.1766607761383057,1.1766607761383057,acc_mean
50,0.8516258597373962,0.8516258597373962,acc_mean
51,0.8386692404747009,0.8386692404747009,acc_mean
52,0.890869677066803,0.890869677066803,acc_mean
53,0.9222537279129028,0.9222537279129028,acc_mean
54,-1.117299199104309,1.117299199104309,acc_mean
55,-0.31948041915893555,0.31948041915893555,acc_mean
56,1.2125447988510132,1.2125447988510132,acc_mean
57,0.29899829626083374,0.29899829626083374,acc_mean
58,-0.11205591261386871,0.11205591261386871,acc_mean
59,0.28917863965034485,0.28917863965034485,acc_mean
60,0.2798581123352051,0.2798581123352051,acc_mean
61,-0.7978724241256714,0.7978724241256714,acc_mean
62,-1.1743777990341187,1.1743777990341187,acc_mean
63,-1.3689948320388794,1.3689948320388794,acc_mean
64,-0.1730552762746811,0.1730552762746811,acc_std
65,-0.9985461235046387,0.9985461235046387,acc_std
