Strategy,Dims,ARAT_R2,ARAT_RMSE,ARAT_rho,FMA_R2,FMA_RMSE,FMA_rho
"Baseline (mean pool, 1028-d)",1028,0.447,17.131,0.728,0.353,17.184,0.673
Acc only (128-d),128,0.56,15.281,0.73,0.468,15.591,0.693
Acc mean [0:64],64,0.549,15.469,0.775,0.524,14.738,0.769
Top-5 dims by Spearman (α=10),5,0.544,15.567,0.728,0.44,15.993,0.706
Top-30 dims by Spearman (α=10),30,0.543,15.579,0.731,0.444,15.93,0.707
PCA n=30 on acc (α=10),30,0.597,14.629,0.756,0.521,14.786,0.729
