dim,rho_arat,rho_fma,stream
0,0.6994894430207214,0.6875531515222988,acc_mean
1,0.6354215393919576,0.6090966889760985,acc_mean
2,0.6027375627404734,0.5830858002498402,acc_mean
3,-0.42426451348173794,-0.43788527658929965,acc_mean
4,-0.682482718158169,-0.6723359231977883,acc_mean
5,0.6975366584594686,0.6854658770776246,acc_mean
6,-0.5529771742278196,-0.5303788337799167,acc_mean
7,0.7201400236109722,0.6888647548784187,acc_mean
8,0.3479440868960888,0.36274184987895863,acc_mean
9,0.3539271028773738,0.36919623762080767,acc_mean
10,0.6588820546264537,0.6524476546191719,acc_mean
11,-0.7179797266538368,-0.7023388499690293,acc_mean
12,0.03263674435242129,-0.005073956143574375,acc_mean
13,-0.3009936330276804,-0.283494249223495,acc_mean
14,-0.4194444960773768,-0.4327718795429174,acc_mean
15,0.2732241383786831,0.29510379496764044,acc_mean
16,-0.6746049901144788,-0.6561257121437626,acc_mean
17,-0.15059205541195045,-0.1620340556491373,acc_mean
18,0.6954677289005201,0.684784554815395,acc_mean
19,-0.09298723375494608,-0.12476781595296878,acc_mean
20,0.726551227483761,0.7016474741433387,acc_mean
21,0.6392233523165218,0.6145449470208297,acc_mean
22,0.3159639489306391,0.3345702183596586,acc_mean
23,-0.6821288630651902,-0.6622653460141844,acc_mean
24,0.4914969811477104,0.46520312856546503,acc_mean
25,-0.6475586916511319,-0.6251932174279133,acc_mean
26,-0.45300033451156146,-0.46062179703147105,acc_mean
27,-0.6479140953440798,-0.6453034377537034,acc_mean
28,0.4753381147683348,0.43541751343518503,acc_mean
29,0.2054233345239875,0.23302613400119349,acc_mean
30,0.7361827449926522,0.7214553142142685,acc_mean
31,0.6549617738042399,0.6274746029824849,acc_mean
32,0.6938804139320158,0.6866289970349384,acc_mean
33,0.5328538919271061,0.5405978943623267,acc_mean
34,-0.4715858570427872,-0.4904994409349694,acc_mean
35,-0.6953655213025483,-0.6863397637476809,acc_mean
36,0.6783611193399497,0.6536950698393497,acc_mean
37,-0.624476809109123,-0.619011049250542,acc_mean
38,-0.5259316500644573,-0.5317824659092548,acc_mean
39,0.6148181911007693,0.613528763760251,acc_mean
40,0.19649100990122279,0.22557644347672284,acc_mean
41,-0.6731276257437928,-0.6501740025749548,acc_mean
42,0.5332518821192092,0.5451637588756117,acc_mean
43,0.6312720657742913,0.6222227761007576,acc_mean
44,-0.42650533763727544,-0.43260406236822524,acc_mean
45,0.2699767242431183,0.2909779671935253,acc_mean
46,-0.3279655986925023,-0.29044822173424345,acc_mean
47,-0.710344354505338,-0.6977683453495316,acc_mean
48,-0.5366293786521928,-0.5114850946328865,acc_mean
49,0.6667644284700514,0.6607410711233164,acc_mean
50,-0.4004183968548929,-0.4188214002144708,acc_mean
51,0.6722426008613535,0.6580977572841551,acc_mean
52,-0.6911231316867257,-0.6753968465960916,acc_mean
53,0.7090141071317327,0.6781437894740029,acc_mean
54,0.6877007257546331,0.6802271971634999,acc_mean
55,0.052767769652981224,0.08009209998617285,acc_mean
56,-0.6410336656806015,-0.6411304355664258,acc_mean
57,-0.5729424993316673,-0.545181545949427,acc_mean
58,0.45005799456994333,0.45031534778205545,acc_mean
59,-0.7100872869104387,-0.7017016087158201,acc_mean
60,0.5335856054125874,0.5080962703955533,acc_mean
61,0.0311578313817659,0.06605655204382696,acc_mean
62,0.2145438140430188,0.18651370932520855,acc_mean
63,0.3401763094502172,0.36073809734611284,acc_mean
64,0.15209806888206812,0.1710250347872559,acc_std
65,0.5194453390931587,0.5244039236800454,acc_std
66,0.13425897153603172,0.16169378119354022,acc_std
67,-0.4611482932498895,-0.4263105316417493,acc_std
68,0.4197503445713081,0.4349565962180581,acc_std
69,0.4146113155732768,0.42030004739424737,acc_std
70,0.5023023374333104,0.5040964988402162,acc_std
71,0.7506969982046603,0.7293527749882637,acc_std
72,-0.35776375930124676,-0.3286339758115597,acc_std
73,-0.4047064701698089,-0.37027274226215123,acc_std
74,-0.7097504664171218,-0.6922937933695951,acc_std
75,0.7052835298057549,0.6958512081326559,acc_std
76,0.059758149914278,0.02598691484415938,acc_std
77,0.17195886348798997,0.2045730027049904,acc_std
78,0.1458440479061605,0.16329384448588216,acc_std
79,-0.44331074450382235,-0.405826782765838,acc_std
80,0.26751599889194405,0.2749440801755818,acc_std
81,0.2819435305056727,0.3048418312060017,acc_std
82,0.4508903670534274,0.4658836774766593,acc_std
83,-0.43858906319751007,-0.41351466540922666,acc_std
84,0.4457993446544435,0.46863603381181873,acc_std
85,0.6434943910317757,0.6389248384133281,acc_std
86,-0.3418797694164171,-0.3099281609661433,acc_std
87,-0.6161871534736063,-0.5749501473569273,acc_std
88,0.4167499321308424,0.3914037859547326,acc_std
89,-0.28660094491326027,-0.27341903193367834,acc_std
90,0.33117584642880454,0.34455882033350504,acc_std
91,-0.6132866257311587,-0.5942777364348438,acc_std
92,0.5535315730168192,0.5736277170863111,acc_std
93,-0.3193956464625474,-0.2993927998102351,acc_std
94,0.3197533730554494,0.34323097660564084,acc_std
95,0.7499621875192405,0.7420597058517098,acc_std
96,0.18000229172839213,0.21070490306505765,acc_std
97,-0.2595167057506661,-0.23466563819634328,acc_std
98,0.48115388195293834,0.49028367599607936,acc_std
99,-0.7637416300458285,-0.7319481410632271,acc_std
100,0.6841188140257054,0.6659086027421799,acc_std
101,-0.46785992551671723,-0.4381783766317344,acc_std
102,-0.6874699843592116,-0.677389772214441,acc_std
103,0.17258294927560686,0.19505073140551912,acc_std
104,-0.41437205687802414,-0.3813393955794123,acc_std
105,-0.27812778018138495,-0.2818825856656213,acc_std
106,-0.53738044963729,-0.5116358980847988,acc_std
107,-0.3116781985156771,-0.28278276627088283,acc_std
108,0.532106692441932,0.5411291865236795,acc_std
109,0.6634419072359768,0.6488562124105514,acc_std
110,0.6162498717723619,0.58828967936737,acc_std
111,0.6648387444082609,0.6585231003536516,acc_std
112,0.14570467390892594,0.1735098116641503,acc_std
113,-0.6783479562402109,-0.6588270273105825,acc_std
114,-0.5775395183404534,-0.554768778735876,acc_std
115,0.5115180558504521,0.5190500144616389,acc_std
116,0.47669236544146376,0.47367828256293976,acc_std
117,0.4877137514227773,0.4977418733819399,acc_std
118,0.11017282191394942,0.12503694211330468,acc_std
119,0.43316741470508646,0.4413723164081347,acc_std
120,-0.7158023950970395,-0.713246192972988,acc_std
121,0.1479865359636492,0.17606960359148321,acc_std
122,0.35327204509037147,0.3654207378657505,acc_std
