metric,value
pooled_auc,0.7802835051546391
pooled_f1,0.9897959183673469
mean_fold_auc,0.5416666666666666
std_fold_auc,0.39027833256632155
mean_fold_f1,0.9307692307692308
std_fold_f1,0.00444115591684326
