dim,rho_arat,rho_fma
0,0.6610756464829283,0.6584921663122337
1,0.6171890976537258,0.6176112838763811
2,0.6240493955176037,0.6321595635552291
3,-0.2570931467987544,-0.28085789554365276
4,-0.3811360043374944,-0.34272133827328055
5,0.6785051391370921,0.6767169568136013
6,-0.4487370387961538,-0.4265100562088949
7,0.05495206990964031,0.029725293749515047
8,0.3869122822228813,0.4051152998132258
9,0.25804321287990317,0.2835677175718625
10,0.5051641501765263,0.5115995505861328
11,-0.689370116521509,-0.6863374436945746
12,-0.01883562142626335,-0.05847075173711747
13,0.18962296903749856,0.2134441124326145
14,-0.6048266240990222,-0.608464087829102
15,0.15444110063557762,0.18276682355846297
16,-0.6697485806108399,-0.6506960145238823
17,-0.2390318253571274,-0.26279473540869364
18,0.5811500791688125,0.5461892223486158
19,-0.11910127503679094,-0.14716792869472028
20,0.5017425185444183,0.46948130649356346
21,0.46706084793257246,0.443599567390225
22,-0.08394263563440912,-0.050703987288113136
23,-0.6792353040226041,-0.6765947673500006
24,0.5650392193884843,0.5442017101875144
25,-0.6707505247909592,-0.6597712889248645
26,-0.3837314578859954,-0.3952829147485398
27,-0.6892965580229686,-0.6865586220907126
28,0.34222123570964175,0.30508002332491974
29,0.24931685205305174,0.27675526830060104
30,0.5916271322609267,0.5641309663710096
31,0.4832708181109341,0.451743727144528
32,0.5643477695022041,0.5300749068229856
33,0.44832820840426574,0.4662618461329934
34,0.316292252124125,0.33037401564131774
35,-0.6403143409948744,-0.637707583883533
36,0.6235693295271292,0.6006192149255174
37,-0.5135862111094156,-0.5298034606095434
38,-0.4770013111353337,-0.48786386060616255
39,0.6595580185130412,0.6542000680654971
40,-0.20902228085257715,-0.17815301128098016
41,-0.6547480670084803,-0.6395922403569199
42,0.5220647959411834,0.53312887006197
43,0.6171774831539564,0.5935399595470263
44,-0.5088606583031802,-0.523272511115185
45,0.3766922967256665,0.3917108063158055
46,0.1138019659419399,0.12553034007392053
47,-0.6817858481719962,-0.6681497740429084
48,-0.4825375560254834,-0.45292463417565704
49,0.6607821867887511,0.6619420852813672
50,-0.3457667553392915,-0.3670927228043891
51,-0.15005701412256675,-0.18824292224047032
52,-0.4784438320067112,-0.48812138650096676
53,-0.23854169346685258,-0.26534370042153027
54,0.6785260452366773,0.6607039502736148
55,-0.1473322524766315,-0.11460211659200471
56,-0.6587341633293882,-0.6576724142146587
57,-0.41888932298839254,-0.39705852872592845
58,0.07313418214887059,0.07121867020544241
59,-0.5446975844921034,-0.5054421296418957
60,0.15336327505696387,0.11568558139266738
61,0.22014200293193945,0.23616671255614785
62,0.5160089957613427,0.49516970783803993
63,0.6465536502710739,0.6464394904247764
64,0.32818162838821585,0.29571010217943167
65,0.37754944680865893,0.4048585472694571
66,0.7407642780017455,0.719924852515117
