Strategy,Dims,ARAT_R2,ARAT_RMSE,ARAT_rho,FMA_R2,FMA_RMSE,FMA_rho
"Baseline (mean pool, 1028-d)",1028,0.492,16.429,0.722,0.41,16.411,0.692
Acc only (128-d),128,0.562,15.257,0.753,0.483,15.362,0.72
Acc mean [0:64],64,0.524,15.894,0.754,0.397,16.601,0.735
Top-5 dims by Spearman (α=10),5,0.501,16.278,0.707,0.416,16.332,0.684
Top-30 dims by Spearman (α=10),30,0.536,15.696,0.74,0.447,15.89,0.714
PCA n=30 on acc (α=10),30,0.501,16.279,0.714,0.279,18.151,0.655
