dim,icc,sd,SEM,MDC,stream
78,0.90420127,0.009849286,0.0030484886,0.008449979392562621,acc_std
79,0.89156806,0.0080614565,0.0026545576,0.007358058215721804,acc_std
80,0.9590271,0.014969452,0.0030300808,0.008398955508963912,acc_std
81,0.9124173,0.015789349,0.004672759,0.01295222772611009,acc_std
82,0.98325235,0.041705202,0.005397184,0.014960230293132419,acc_std
83,0.9465258,0.0050651017,0.0011712788,0.003246619103315181,acc_std
84,0.98462284,0.018720847,0.0023214729,0.006434794462547542,acc_std
85,0.95587134,0.011436408,0.002402426,0.006659185061102061,acc_std
86,0.92808217,0.007735911,0.0020745778,0.0057504364059662565,acc_std
87,0.7811213,0.007238465,0.0033864777,0.009386837295622709,acc_std
88,0.9622381,0.011781648,0.0022894603,0.006346060107712195,acc_std
89,0.8313738,0.006299842,0.0025869748,0.007170728197170775,acc_std
90,0.9090273,0.008950861,0.0026997305,0.007483271023557364,acc_std
91,0.89859414,0.0077561247,0.0024698824,0.006846164641778613,acc_std
92,0.97654754,0.019773776,0.003028195,0.008393727982659546,acc_std
93,0.8144337,0.0054640537,0.0023537728,0.006524325208427282,acc_std
94,0.9793644,0.030965222,0.0044481843,0.012329737766027797,acc_std
95,0.8380499,0.011018663,0.0044342433,0.012291095375287022,acc_std
96,0.8875805,0.01118351,0.0037497208,0.010393695648139975,acc_std
97,0.9491516,0.013106185,0.0029553915,0.008191927396849687,acc_std
98,0.8610605,0.00982131,0.003660853,0.010147366864194797,acc_std
99,0.8139268,0.005975735,0.002577705,0.007145033937324385,acc_std
100,0.94677526,0.009178316,0.0021174825,0.005869361984016984,acc_std
101,0.9837663,0.023721155,0.003022347,0.008377518778874302,acc_std
102,0.9130128,0.007483645,0.0022071956,0.006118034119568478,acc_std
103,0.9742042,0.016353508,0.0026265495,0.007280423641739396,acc_std
104,0.93027955,0.007683611,0.0020288292,0.005623627589173821,acc_std
105,0.9225651,0.013767909,0.0038312133,0.010619581577366992,acc_std
106,0.950782,0.011242546,0.0024941736,0.006913496471326093,acc_std
107,0.97000957,0.017867155,0.0030941886,0.008576653326268934,acc_std
108,0.9310064,0.009022217,0.0023698332,0.006568842435211099,acc_std
109,0.96564424,0.014241375,0.0026396825,0.007316826586026324,acc_std
110,0.92139643,0.013263858,0.0037186984,0.01030770606730123,acc_std
111,0.8352362,0.009740892,0.003953936,0.010959751557585351,acc_std
112,0.9455483,0.010176562,0.0023746893,0.006582302992758035,acc_std
113,0.8616599,0.010326992,0.0038410316,0.010646796337456972,acc_std
114,0.7981229,0.008291696,0.0037255203,0.010326615514303446,acc_std
115,0.8582049,0.008470051,0.0031894562,0.008840721494847215,acc_std
116,0.95315,0.010626909,0.0023001803,0.0063757743998240045,acc_std
117,0.9712404,0.01623446,0.002753146,0.007631331348211096,acc_std
118,0.8309885,0.007986889,0.0032834904,0.009101371119371886,acc_std
119,0.9703139,0.023426766,0.00403635,0.01118819187559171,acc_std
120,0.9395003,0.016564643,0.004074354,0.011293533629734497,acc_std
121,0.9705704,0.016894037,0.0028981825,0.008033351999840763,acc_std
122,0.9566164,0.01242229,0.0025874053,0.007171921492990129,acc_std
123,0.9733652,0.02461984,0.004018001,0.011137329980771073,acc_std
124,0.9423967,0.012705349,0.0030493713,0.008452426003947789,acc_std
125,0.98445153,0.020619217,0.0025710824,0.007126676930139026,acc_std
126,0.9131468,0.013122473,0.0038673065,0.010719626750228304,acc_std
127,0.8880424,0.009398813,0.003144849,0.008717076944902964,acc_std
128,0.3897183,0.0050022486,0.003907783,0.010831821726818756,gravity
129,0.3897183,0.0050022486,0.003907783,0.010831821726818756,gravity
130,0.3897753,0.004911991,0.0038370942,0.010635882424205967,gravity
131,0.38976684,0.0048044175,0.0037530873,0.01040302710528008,gravity
132,0.38966313,0.0046977,0.0036700342,0.010172815882066415,gravity
133,0.38945818,0.004591834,0.0035879293,0.009945232620224525,gravity
134,0.3891466,0.0044868467,0.00350679,0.009720325722775747,gravity
135,0.38870963,0.0043828636,0.0034267444,0.009498450790583502,gravity
136,0.3881352,0.004279971,0.00334787,0.009279822087688907,gravity
137,0.38743356,0.0041782777,0.003270197,0.009064523512662279,gravity
138,0.38656992,0.004077761,0.003193775,0.008852692530084215,gravity
139,0.38552397,0.00397851,0.0031186952,0.0086445821264129,gravity
140,0.384325,0.0038808184,0.0030450826,0.008440538221907488,gravity
141,0.38293016,0.0037845583,0.0029729141,0.008240497569953433,gravity
142,0.38130772,0.0036897908,0.0029022787,0.008044706057899125,gravity
143,0.37948155,0.0035968085,0.0028333138,0.007853545101552699,gravity
144,0.37744823,0.0035056595,0.0027660339,0.007667054714078456,gravity
145,0.37514088,0.00341627,0.0027004941,0.007485387849023824,gravity
146,0.37255818,0.0033288472,0.0026368205,0.007308893653516043,gravity
147,0.36979336,0.0032437327,0.0025750552,0.0071376889401799405,gravity
148,0.36671567,0.0031606867,0.002515248,0.00697191181896973,gravity
149,0.36330128,0.0030798782,0.0024575398,0.006811952740924194,gravity
150,0.3597222,0.0030017218,0.0024018984,0.006657722644484073,gravity
151,0.3558464,0.0029260493,0.0023484232,0.006509497104184179,gravity
152,0.35162425,0.0028529915,0.0022972794,0.006367733689919547,gravity
153,0.34720054,0.0027828226,0.0022484097,0.006232273639780192,gravity
154,0.3426076,0.0027155853,0.0022017895,0.0061030491895362445,gravity
155,0.33770514,0.0026513673,0.0021577226,0.005980901906385345,gravity
156,0.3325674,0.0025903753,0.002116247,0.005865937631600815,gravity
157,0.32749975,0.0025326044,0.0020768906,0.005756846902112093,gravity
158,0.3222226,0.002478257,0.0020402807,0.00565536964519283,gravity
159,0.31676996,0.0024275624,0.002006568,0.005561922772200139,gravity
160,0.3115851,0.0023802302,0.0019748954,0.0054741306628468146,gravity
161,0.30643207,0.0023366008,0.0019459381,0.005393865223311351,gravity
162,0.30128956,0.0022969677,0.0019200101,0.005321996417230575,gravity
163,0.29648075,0.0022609865,0.0018964263,0.005256625555420849,gravity
164,0.29208452,0.002228579,0.0018750754,0.005197443826606048,gravity
165,0.28790984,0.0022003837,0.0018568033,0.005146796195826529,gravity
166,0.28410956,0.0021762887,0.0018413645,0.0051040021166023,gravity
167,0.28109437,0.0021551028,0.0018272751,0.005064948300180163,gravity
168,0.27847847,0.0021381732,0.0018162162,0.005034294344080804,gravity
169,0.27630827,0.0021256004,0.0018082497,0.005012212563060179,gravity
170,0.27503034,0.0021154187,0.0018011763,0.004992606112550714,gravity
171,0.27432826,0.0021089686,0.0017965537,0.004979792864742455,gravity
172,0.2741342,0.0021066652,0.0017948315,0.004975019036091418,gravity
173,0.27467215,0.0021069993,0.0017944508,0.004973963850226277,gravity
174,0.2759202,0.0021097003,0.0017952047,0.004976053570000788,gravity
175,0.27763885,0.0021161865,0.0017985856,0.004985425040305197,gravity
176,0.27986908,0.0021258236,0.0018039851,0.005000391577189322,gravity
177,0.28282458,0.0021359806,0.0018088811,0.005013962493624906,gravity
178,0.28614616,0.0021494776,0.0018160908,0.005033946810387606,gravity
179,0.28979516,0.002166252,0.0018255797,0.005060248689495176,gravity
180,0.29400188,0.00218271,0.0018339936,0.005083570878609257,gravity
181,0.29850003,0.0022013609,0.0018437629,0.005110650110239495,gravity
182,0.3031926,0.0022228158,0.0018554952,0.00514317016415479,gravity
183,0.30818236,0.002244684,0.0018670288,0.005175139714374083,gravity
184,0.31343108,0.0022667355,0.0018782048,0.0052061179707163984,gravity
185,0.31875613,0.002291156,0.001891063,0.005241759051447486,gravity
186,0.3241652,0.0023170484,0.0019048263,0.005279909022117861,gravity
187,0.32980558,0.0023409533,0.0019164308,0.005312075088603781,gravity
188,0.33543134,0.0023668557,0.0019294864,0.005348263446162782,gravity
189,0.3410141,0.0023946913,0.0019439614,0.005388386001296033,gravity
190,0.34673563,0.0024200196,0.0019559753,0.005421686957288894,gravity
191,0.35241917,0.002446173,0.0019684944,0.005456388051345623,gravity
192,0.358003,0.0024739648,0.0019822572,0.005494536731268762,gravity
193,0.3635851,0.0025006298,0.0019948927,0.005529560512134402,gravity
194,0.36916012,0.0025260523,0.002006328,0.005561257392000164,gravity
195,0.3745995,0.0025528779,0.0020188738,0.005596032704022941,gravity
196,0.37992662,0.0025801389,0.0020317235,0.005631650228616979,gravity
197,0.3852842,0.0026040664,0.0020416873,0.005659268347218099,gravity
198,0.39048508,0.0026292135,0.0020526648,0.005689696422551221,gravity
199,0.39551964,0.002655544,0.0020646413,0.005722893796078422,gravity
200,0.4005563,0.0026783335,0.002073666,0.005747909122878861,gravity
201,0.4054585,0.002701266,0.0020828522,0.005773371693596453,gravity
202,0.410185,0.0027252466,0.0020929736,0.005801426730136839,gravity
203,0.4148288,0.002747425,0.0021016838,0.0058255701571796,gravity
204,0.4193934,0.002767754,0.0021089606,0.005845740664231042,gravity
205,0.4237775,0.0027890292,0.0021171332,0.00586839392359025,gravity
206,0.4280075,0.00281029,0.0021254276,0.005891384713351579,gravity
207,0.43220744,0.0028277484,0.0021307652,0.0059061799035401725,gravity
208,0.43622485,0.002846075,0.0021369744,0.0059233907271802775,gravity
209,0.44005597,0.0028652528,0.0021440517,0.005943008149041245,gravity
210,0.44384265,0.0028806014,0.0021482361,0.005954606803700762,gravity
211,0.44747376,0.0028958283,0.0021525302,0.005966509429334272,gravity
212,0.45091757,0.0029118531,0.002157686,0.005980800582727346,gravity
213,0.45425206,0.0029258996,0.0021615012,0.005991375674828995,gravity
214,0.45747972,0.0029379546,0.0021639792,0.005998244386243486,gravity
215,0.46051905,0.0029507657,0.0021673187,0.006007500980043922,gravity
216,0.4633928,0.0029634207,0.0021708086,0.006017174485201472,gravity
217,0.4662011,0.0029722892,0.0021716005,0.006019369400875688,gravity
218,0.46881938,0.0029818874,0.0021732633,0.006023978659254181,gravity
