dim,cohens_d,stream,abs_d
0,-1.4025349617004395,acc_mean,1.4025349617004395
1,-1.0101083517074585,acc_mean,1.0101083517074585
2,-0.6797901391983032,acc_mean,0.6797901391983032
3,1.2584915161132812,acc_mean,1.2584915161132812
4,1.2461273670196533,acc_mean,1.2461273670196533
5,-1.2867945432662964,acc_mean,1.2867945432662964
6,1.265162467956543,acc_mean,1.265162467956543
7,-1.2095876932144165,acc_mean,1.2095876932144165
8,-1.3406429290771484,acc_mean,1.3406429290771484
9,-1.1835590600967407,acc_mean,1.1835590600967407
10,-1.29156494140625,acc_mean,1.29156494140625
11,1.2755564451217651,acc_mean,1.2755564451217651
12,0.5144850015640259,acc_mean,0.5144850015640259
13,0.15079358220100403,acc_mean,0.15079358220100403
14,1.3240880966186523,acc_mean,1.3240880966186523
15,-1.0801472663879395,acc_mean,1.0801472663879395
16,1.0920798778533936,acc_mean,1.0920798778533936
17,-0.5257712602615356,acc_mean,0.5257712602615356
18,-1.2223519086837769,acc_mean,1.2223519086837769
19,0.7864030599594116,acc_mean,0.7864030599594116
20,-0.942264199256897,acc_mean,0.942264199256897
21,-1.230312466621399,acc_mean,1.230312466621399
22,-0.8478602170944214,acc_mean,0.8478602170944214
23,1.0634385347366333,acc_mean,1.0634385347366333
24,-0.7727715969085693,acc_mean,0.7727715969085693
25,1.0574709177017212,acc_mean,1.0574709177017212
26,1.0427050590515137,acc_mean,1.0427050590515137
27,1.239692211151123,acc_mean,1.239692211151123
28,-0.3334634602069855,acc_mean,0.3334634602069855
29,-0.9723801016807556,acc_mean,0.9723801016807556
30,-1.2543150186538696,acc_mean,1.2543150186538696
31,-0.9765635132789612,acc_mean,0.9765635132789612
32,-1.0777065753936768,acc_mean,1.0777065753936768
33,-1.2664178609848022,acc_mean,1.2664178609848022
34,1.0799596309661865,acc_mean,1.0799596309661865
35,1.293763279914856,acc_mean,1.293763279914856
36,-1.0909067392349243,acc_mean,1.0909067392349243
37,1.097266674041748,acc_mean,1.097266674041748
38,1.3117129802703857,acc_mean,1.3117129802703857
39,-1.2509206533432007,acc_mean,1.2509206533432007
40,-1.0794914960861206,acc_mean,1.0794914960861206
41,1.0643998384475708,acc_mean,1.0643998384475708
42,-1.129442811012268,acc_mean,1.129442811012268
43,-1.2161505222320557,acc_mean,1.2161505222320557
44,1.350119948387146,acc_mean,1.350119948387146
45,-0.8077277541160583,acc_mean,0.8077277541160583
46,0.48188143968582153,acc_mean,0.48188143968582153
47,1.326464295387268,acc_mean,1.326464295387268
48,1.1700485944747925,acc_mean,1.1700485944747925
49,-1.2500337362289429,acc_mean,1.2500337362289429
50,1.1979286670684814,acc_mean,1.1979286670684814
51,-1.2192175388336182,acc_mean,1.2192175388336182
52,1.2533437013626099,acc_mean,1.2533437013626099
53,-0.922939121723175,acc_mean,0.922939121723175
54,-1.2999740839004517,acc_mean,1.2999740839004517
55,-0.7389285564422607,acc_mean,0.7389285564422607
56,1.2397716045379639,acc_mean,1.2397716045379639
57,1.0084363222122192,acc_mean,1.0084363222122192
58,-0.7514682412147522,acc_mean,0.7514682412147522
59,1.2126646041870117,acc_mean,1.2126646041870117
