dim,icc,stream,category
207,-0.15989272,gravity,poor
208,-0.1826557,gravity,poor
209,-0.18979055,gravity,poor
210,-0.18564616,gravity,poor
211,-0.17402615,gravity,poor
212,-0.15696706,gravity,poor
213,-0.13546994,gravity,poor
214,-0.11221686,gravity,poor
215,-0.093698725,gravity,poor
216,-0.08999506,gravity,poor
217,-0.111335345,gravity,poor
218,-0.16283357,gravity,poor
219,-0.23446609,gravity,poor
220,-0.30433488,gravity,poor
221,-0.35238722,gravity,poor
222,-0.36752042,gravity,poor
223,-0.34908247,gravity,poor
224,-0.30370674,gravity,poor
225,-0.24159795,gravity,poor
226,-0.17393251,gravity,poor
227,-0.107878484,gravity,poor
228,0.016584976,gravity,poor
229,0.093922354,gravity,poor
230,0.15250276,gravity,poor
231,0.18217862,gravity,poor
232,0.18082316,gravity,poor
233,0.15898183,gravity,poor
234,0.12990974,gravity,poor
235,0.10082037,gravity,poor
236,0.073015906,gravity,poor
237,0.045694016,gravity,poor
238,0.01926875,gravity,poor
239,-0.0015694774,gravity,poor
240,-0.008724528,gravity,poor
241,0.0050958036,gravity,poor
242,0.041349806,gravity,poor
243,0.09202982,gravity,poor
244,0.14000261,gravity,poor
245,0.16416714,gravity,poor
246,0.149195,gravity,poor
247,0.09541443,gravity,poor
248,0.02036087,gravity,poor
249,-0.051388126,gravity,poor
250,-0.104494795,gravity,poor
251,-0.13511752,gravity,poor
252,-0.14873356,gravity,poor
253,-0.15456171,gravity,poor
254,-0.15813494,gravity,poor
255,-0.15803817,gravity,poor
256,-0.14965731,gravity,poor
257,-0.12997845,gravity,poor
258,-0.098782755,gravity,poor
259,-0.060693305,gravity,poor
260,-0.02340643,gravity,poor
261,0.004329136,gravity,poor
262,0.014297622,gravity,poor
263,0.002680584,gravity,poor
264,-0.027136609,gravity,poor
265,-0.06563861,gravity,poor
266,-0.10118877,gravity,poor
267,-0.12346095,gravity,poor
268,-0.12383457,gravity,poor
269,-0.099090345,gravity,poor
270,-0.052511316,gravity,poor
271,0.009131534,gravity,poor
272,0.07691608,gravity,poor
273,0.14209977,gravity,poor
274,0.19654988,gravity,poor
275,0.23231435,gravity,poor
276,0.2424516,gravity,poor
277,0.22384153,gravity,poor
278,0.17944036,gravity,poor
279,0.11940717,gravity,poor
280,0.05557884,gravity,poor
281,-0.0038004606,gravity,poor
282,-0.053947523,gravity,poor
283,-0.09207883,gravity,poor
284,-0.11603676,gravity,poor
285,-0.124067724,gravity,poor
286,-0.115832776,gravity,poor
287,-0.09409936,gravity,poor
288,-0.06580591,gravity,poor
289,-0.043152895,gravity,poor
290,-0.03798082,gravity,poor
291,-0.056006923,gravity,poor
292,-0.0951153,gravity,poor
293,-0.14657457,gravity,poor
294,-0.19785957,gravity,poor
295,-0.2356782,gravity,poor
296,-0.24939936,gravity,poor
297,-0.23450425,gravity,poor
298,-0.19330369,gravity,poor
299,-0.1333992,gravity,poor
300,-0.062101245,gravity,poor
301,0.016534116,gravity,poor
302,0.09939359,gravity,poor
303,0.18052994,gravity,poor
304,0.24813913,gravity,poor
305,0.28518423,gravity,poor
306,0.274806,gravity,poor
307,0.20849407,gravity,poor
308,0.093203865,gravity,poor
309,-0.040274337,gravity,poor
310,-0.14849891,gravity,poor
311,-0.20111161,gravity,poor
312,-0.19624372,gravity,poor
313,-0.1547475,gravity,poor
314,-0.103960134,gravity,poor
315,-0.06719094,gravity,poor
316,-0.059820145,gravity,poor
317,-0.086621724,gravity,poor
318,-0.14009722,gravity,poor
319,-0.19984177,gravity,poor
320,-0.24652497,gravity,poor
321,-0.27085462,gravity,poor
322,-0.27411607,gravity,poor
323,-0.26602957,gravity,poor
324,-0.25980097,gravity,poor
325,-0.2647055,gravity,poor
326,-0.2807429,gravity,poor
327,-0.28474462,gravity,poor
328,-0.026482753,gravity,poor
329,-0.06472383,gravity,poor
330,-0.0970525,gravity,poor
331,-0.10613226,gravity,poor
332,-0.091752864,gravity,poor
333,-0.060063936,gravity,poor
334,-0.019803433,gravity,poor
335,0.021058675,gravity,poor
336,0.056611713,gravity,poor
337,0.08275564,gravity,poor
338,0.09632828,gravity,poor
339,0.09545383,gravity,poor
340,0.08114232,gravity,poor
341,0.05623059,gravity,poor
342,0.024515446,gravity,poor
343,-0.01036049,gravity,poor
344,-0.04515876,gravity,poor
345,-0.07617484,gravity,poor
