dim,rho_arat,rho_fma,stream
0,0.6610756464829283,0.6584921663122337,acc_mean
1,0.6171890976537258,0.6176112838763811,acc_mean
2,0.6240493955176037,0.6321595635552291,acc_mean
3,-0.2570931467987544,-0.28085789554365276,acc_mean
4,-0.3811360043374944,-0.34272133827328055,acc_mean
5,0.6785051391370921,0.6767169568136013,acc_mean
6,-0.4487370387961538,-0.4265100562088949,acc_mean
7,0.05495206990964031,0.029725293749515047,acc_mean
8,0.3869122822228813,0.4051152998132258,acc_mean
9,0.25804321287990317,0.2835677175718625,acc_mean
10,0.5051641501765263,0.5115995505861328,acc_mean
11,-0.689370116521509,-0.6863374436945746,acc_mean
12,-0.01883562142626335,-0.05847075173711747,acc_mean
13,0.18962296903749856,0.2134441124326145,acc_mean
14,-0.6048266240990222,-0.608464087829102,acc_mean
15,0.15444110063557762,0.18276682355846297,acc_mean
16,-0.6697485806108399,-0.6506960145238823,acc_mean
17,-0.2390318253571274,-0.26279473540869364,acc_mean
18,0.5811500791688125,0.5461892223486158,acc_mean
19,-0.11910127503679094,-0.14716792869472028,acc_mean
20,0.5017425185444183,0.46948130649356346,acc_mean
21,0.46706084793257246,0.443599567390225,acc_mean
22,-0.08394263563440912,-0.050703987288113136,acc_mean
23,-0.6792353040226041,-0.6765947673500006,acc_mean
24,0.5650392193884843,0.5442017101875144,acc_mean
25,-0.6707505247909592,-0.6597712889248645,acc_mean
26,-0.3837314578859954,-0.3952829147485398,acc_mean
27,-0.6892965580229686,-0.6865586220907126,acc_mean
28,0.34222123570964175,0.30508002332491974,acc_mean
29,0.24931685205305174,0.27675526830060104,acc_mean
30,0.5916271322609267,0.5641309663710096,acc_mean
31,0.4832708181109341,0.451743727144528,acc_mean
32,0.5643477695022041,0.5300749068229856,acc_mean
33,0.44832820840426574,0.4662618461329934,acc_mean
34,0.316292252124125,0.33037401564131774,acc_mean
35,-0.6403143409948744,-0.637707583883533,acc_mean
36,0.6235693295271292,0.6006192149255174,acc_mean
37,-0.5135862111094156,-0.5298034606095434,acc_mean
38,-0.4770013111353337,-0.48786386060616255,acc_mean
39,0.6595580185130412,0.6542000680654971,acc_mean
40,-0.20902228085257715,-0.17815301128098016,acc_mean
41,-0.6547480670084803,-0.6395922403569199,acc_mean
42,0.5220647959411834,0.53312887006197,acc_mean
43,0.6171774831539564,0.5935399595470263,acc_mean
44,-0.5088606583031802,-0.523272511115185,acc_mean
45,0.3766922967256665,0.3917108063158055,acc_mean
46,0.1138019659419399,0.12553034007392053,acc_mean
47,-0.6817858481719962,-0.6681497740429084,acc_mean
48,-0.4825375560254834,-0.45292463417565704,acc_mean
49,0.6607821867887511,0.6619420852813672,acc_mean
50,-0.3457667553392915,-0.3670927228043891,acc_mean
51,-0.15005701412256675,-0.18824292224047032,acc_mean
52,-0.4784438320067112,-0.48812138650096676,acc_mean
53,-0.23854169346685258,-0.26534370042153027,acc_mean
54,0.6785260452366773,0.6607039502736148,acc_mean
55,-0.1473322524766315,-0.11460211659200471,acc_mean
56,-0.6587341633293882,-0.6576724142146587,acc_mean
57,-0.41888932298839254,-0.39705852872592845,acc_mean
58,0.07313418214887059,0.07121867020544241,acc_mean
59,-0.5446975844921034,-0.5054421296418957,acc_mean
60,0.15336327505696387,0.11568558139266738,acc_mean
61,0.22014200293193945,0.23616671255614785,acc_mean
62,0.5160089957613427,0.49516970783803993,acc_mean
63,0.6465536502710739,0.6464394904247764,acc_mean
64,0.32818162838821585,0.29571010217943167,acc_std
65,0.37754944680865893,0.4048585472694571,acc_std
66,0.7407642780017455,0.719924852515117,acc_std
67,-0.04678552797168094,-0.08254903622579117,acc_std
68,0.7145999072208993,0.7057176206429016,acc_std
69,0.46201473493269757,0.45618353543903495,acc_std
70,0.10871404074289459,0.0755935170129718,acc_std
71,0.18778555517395654,0.15838770551699996,acc_std
72,0.2585132129705774,0.21949171752981791,acc_std
73,0.027019972263869357,-0.007182111066205641,acc_std
74,-0.006032571180301644,-0.041016992218091394,acc_std
75,0.6015761127635189,0.5863060339614458,acc_std
76,0.40837432919703115,0.3706137900687839,acc_std
77,0.20715234638968041,0.17117506488813275,acc_std
78,0.0693447580240604,0.03474356861853717,acc_std
79,0.044663946013777406,0.009331253593715652,acc_std
80,0.41629774093981475,0.37691505430561417,acc_std
81,-0.03561934789324043,-0.06900688624406112,acc_std
82,0.720406382805687,0.7049620566812689,acc_std
83,0.05126717628275602,0.01634013402798094,acc_std
84,0.4400772677679811,0.40189893285679756,acc_std
85,0.2850980286430812,0.24985425253254212,acc_std
86,0.06504042440946704,0.02700309810473806,acc_std
87,0.5374547824358151,0.5016790035034058,acc_std
88,0.28502059864461754,0.24832147078028416,acc_std
89,-0.25486083994304787,-0.28812584857479306,acc_std
90,0.6972261641656292,0.670481427414784,acc_std
91,0.5666776381559748,0.55924648123112,acc_std
92,0.6191976318138724,0.5872417887143379,acc_std
93,0.060066321308163265,0.023775130882778085,acc_std
94,0.7585398827490416,0.7437958789262906,acc_std
95,0.08441573292502191,0.04753711479795355,acc_std
96,0.28391025246664897,0.24358005558195245,acc_std
97,-0.2089363335542825,-0.24171937299066454,acc_std
