dim,cohens_d,stream,abs_d
0,-1.3451200723648071,acc_mean,1.3451200723648071
1,-1.0740879774093628,acc_mean,1.0740879774093628
2,-0.8693611025810242,acc_mean,0.8693611025810242
3,1.1485376358032227,acc_mean,1.1485376358032227
4,1.208797574043274,acc_mean,1.208797574043274
5,-1.2494511604309082,acc_mean,1.2494511604309082
6,1.2891368865966797,acc_mean,1.2891368865966797
7,0.02456599473953247,acc_mean,0.02456599473953247
8,-1.341445803642273,acc_mean,1.341445803642273
9,-1.0634009838104248,acc_mean,1.0634009838104248
10,-1.2690452337265015,acc_mean,1.2690452337265015
11,1.2634726762771606,acc_mean,1.2634726762771606
12,0.6771219968795776,acc_mean,0.6771219968795776
13,-1.1804966926574707,acc_mean,1.1804966926574707
14,1.2957793474197388,acc_mean,1.2957793474197388
15,-1.2217713594436646,acc_mean,1.2217713594436646
16,1.10337233543396,acc_mean,1.10337233543396
17,1.2538444995880127,acc_mean,1.2538444995880127
18,-1.0651230812072754,acc_mean,1.0651230812072754
19,0.257524311542511,acc_mean,0.257524311542511
20,-0.6557407975196838,acc_mean,0.6557407975196838
21,-1.269180417060852,acc_mean,1.269180417060852
22,0.022938422858715057,acc_mean,0.022938422858715057
23,1.0359139442443848,acc_mean,1.0359139442443848
24,-1.2630705833435059,acc_mean,1.2630705833435059
25,1.204444169998169,acc_mean,1.204444169998169
26,1.2218358516693115,acc_mean,1.2218358516693115
27,1.0215904712677002,acc_mean,1.0215904712677002
28,-0.4141547977924347,acc_mean,0.4141547977924347
29,-1.1689106225967407,acc_mean,1.1689106225967407
30,-1.027785062789917,acc_mean,1.027785062789917
31,-1.1200469732284546,acc_mean,1.1200469732284546
32,-0.8799896836280823,acc_mean,0.8799896836280823
33,-1.2834911346435547,acc_mean,1.2834911346435547
34,-1.1881853342056274,acc_mean,1.1881853342056274
35,1.2969393730163574,acc_mean,1.2969393730163574
36,-1.0880488157272339,acc_mean,1.0880488157272339
37,0.8256424069404602,acc_mean,0.8256424069404602
38,1.2741347551345825,acc_mean,1.2741347551345825
39,-1.275921106338501,acc_mean,1.275921106338501
40,0.8637087345123291,acc_mean,0.8637087345123291
41,1.2802634239196777,acc_mean,1.2802634239196777
42,-1.1434431076049805,acc_mean,1.1434431076049805
43,-1.0753940343856812,acc_mean,1.0753940343856812
44,1.3537452220916748,acc_mean,1.3537452220916748
45,-1.0967673063278198,acc_mean,1.0967673063278198
46,-0.8098732829093933,acc_mean,0.8098732829093933
47,1.2859221696853638,acc_mean,1.2859221696853638
48,1.1377501487731934,acc_mean,1.1377501487731934
49,-1.221498727798462,acc_mean,1.221498727798462
50,1.1897891759872437,acc_mean,1.1897891759872437
51,1.356809377670288,acc_mean,1.356809377670288
52,1.214633822441101,acc_mean,1.214633822441101
53,1.1670829057693481,acc_mean,1.1670829057693481
54,-1.2511473894119263,acc_mean,1.2511473894119263
55,-0.483419805765152,acc_mean,0.483419805765152
56,1.2528553009033203,acc_mean,1.2528553009033203
57,1.1714924573898315,acc_mean,1.1714924573898315
58,0.0380869060754776,acc_mean,0.0380869060754776
59,0.5557233691215515,acc_mean,0.5557233691215515
60,-0.7552564740180969,acc_mean,0.7552564740180969
61,-0.30885156989097595,acc_mean,0.30885156989097595
62,-1.2735004425048828,acc_mean,1.2735004425048828
63,-1.3240047693252563,acc_mean,1.3240047693252563
64,0.7672748565673828,acc_std,0.7672748565673828
65,-1.1319085359573364,acc_std,1.1319085359573364
66,-1.2267152070999146,acc_std,1.2267152070999146
67,0.47362667322158813,acc_std,0.47362667322158813
68,-1.2495036125183105,acc_std,1.2495036125183105
69,-1.2811288833618164,acc_std,1.2811288833618164
70,-1.098086953163147,acc_std,1.098086953163147
71,-0.7886976003646851,acc_std,0.7886976003646851
72,-1.1734944581985474,acc_std,1.1734944581985474
73,-0.7662259340286255,acc_std,0.7662259340286255
74,-0.9585445523262024,acc_std,0.9585445523262024
