dim,icc,SEM,MDC,stream
0,0.9794761,0.010687798,0.029625065336903806,acc_mean
1,0.9637167,0.0110749295,0.0306981383772361,acc_mean
2,0.9690245,0.00963244,0.0266997622689359,acc_mean
3,0.98030233,0.013043344,0.03615430506543081,acc_mean
4,0.96962166,0.011668376,0.0323430873062993,acc_mean
5,0.9853609,0.010883898,0.030168624812779106,acc_mean
6,0.9472335,0.008976623,0.02488193065513026,acc_mean
7,0.94548136,0.011542243,0.0319934651840743,acc_mean
8,0.98016334,0.011003657,0.030500581768337046,acc_mean
9,0.93795305,0.010667738,0.02956945994599217,acc_mean
10,0.98299116,0.017060488,0.04728926136203553,acc_mean
11,0.9890895,0.018079316,0.05011330789086147,acc_mean
12,0.9562913,0.011502182,0.03188242219939166,acc_mean
13,0.8106118,0.010284915,0.028508328899084074,acc_mean
14,0.9682719,0.008700816,0.024117431393434943,acc_mean
15,0.9432944,0.012533539,0.0347411975733399,acc_mean
16,0.9719794,0.022386536,0.0620523119444617,acc_mean
17,0.9064316,0.008859665,0.024557738834941965,acc_mean
18,0.97645295,0.017085526,0.04735866225940175,acc_mean
19,0.9335517,0.012037748,0.03336693382855852,acc_mean
20,0.94398564,0.011717099,0.03247814077105943,acc_mean
21,0.98515177,0.01224309,0.03393611463706139,acc_mean
22,0.9598562,0.010596199,0.029371165029674327,acc_mean
23,0.977566,0.028192265,0.07814497158030484,acc_mean
24,0.9663684,0.0146268075,0.04054344199185052,acc_mean
25,0.9316043,0.011798301,0.032703221274011395,acc_mean
26,0.9779169,0.013739079,0.03808278469526498,acc_mean
27,0.949781,0.019445712,0.053900762993384733,acc_mean
28,0.95749795,0.010719758,0.029713654482675142,acc_mean
29,0.96197695,0.017580234,0.04872992114461854,acc_mean
30,0.9694499,0.010645517,0.02950786806940161,acc_mean
31,0.9558431,0.023536297,0.06523928561801767,acc_mean
32,0.95355594,0.013095374,0.0362985254170585,acc_mean
33,0.975134,0.010087119,0.027960068521776554,acc_mean
34,0.97269195,0.012248046,0.03394985076914314,acc_mean
35,0.98610663,0.02000216,0.05544315947308138,acc_mean
36,0.9840497,0.012353787,0.034242951069919196,acc_mean
37,0.9437094,0.015432828,0.04277761703398618,acc_mean
38,0.9826423,0.014908292,0.041323678043842835,acc_mean
39,0.98460996,0.011038571,0.03059735683307685,acc_mean
40,0.9600967,0.0074931514,0.020769955882620844,acc_mean
41,0.9435759,0.011309819,0.03134921967933519,acc_mean
42,0.95596343,0.016200788,0.04490629414156353,acc_mean
43,0.9532909,0.01815609,0.05032611596909692,acc_mean
44,0.9478874,0.008270382,0.022924329186165444,acc_mean
45,0.95621324,0.013089046,0.036280984162126065,acc_mean
46,0.96754557,0.0071860547,0.019918727441920758,acc_mean
47,0.98953116,0.01864813,0.05168998145414793,acc_mean
48,0.7987979,0.0109667685,0.03039833135382363,acc_mean
49,0.98637414,0.025772639,0.0714381095431861,acc_mean
50,0.9802591,0.016357685,0.04534118818916425,acc_mean
51,0.9790986,0.0067983214,0.01884398546541277,acc_mean
52,0.9841154,0.017643996,0.0489066605821011,acc_mean
53,0.9518414,0.0088947965,0.02465511796938805,acc_mean
54,0.9748597,0.016405988,0.0454750799814123,acc_mean
55,0.9225456,0.01730431,0.047965101777608786,acc_mean
56,0.9832634,0.01779961,0.04933800249330932,acc_mean
57,0.78049093,0.013277327,0.036802871991914864,acc_mean
58,0.96013147,0.009196509,0.025491421499802363,acc_mean
59,0.97855645,0.021792756,0.06040643884037778,acc_mean
60,0.91686547,0.012223797,0.033882636397594104,acc_mean
61,0.9206706,0.012825471,0.035550392830311174,acc_mean
62,0.84134483,0.010278674,0.028491030304631945,acc_mean
63,0.95156354,0.010573653,0.029308669630018814,acc_mean
64,0.9610812,0.0026807084,0.007430544644354838,acc_std
65,0.9457504,0.001660606,0.004602965017658127,acc_std
66,0.96942896,0.0032872346,0.0091117493725201,acc_std
67,0.9832356,0.0037496507,0.010393501390681011,acc_std
68,0.97809047,0.0016622029,0.004607391312615967,acc_std
69,0.9846982,0.0011383516,0.0031553497209090256,acc_std
70,0.96530783,0.0017783061,0.004929212998192808,acc_std
71,0.9620669,0.0026678361,0.007394864518519871,acc_std
72,0.97730374,0.003910252,0.010838665268662152,acc_std
73,0.9645447,0.0048047756,0.013318158439657475,acc_std
74,0.9699095,0.0039360654,0.010910216550922959,acc_std
75,0.98959035,0.0036121635,0.010012406333235638,acc_std
76,0.71311796,0.0017127665,0.004747546455824985,acc_std
77,0.9749733,0.0027937351,0.007743838685632573,acc_std
78,0.97520643,0.0034423308,0.00954165403668143,acc_std
79,0.96208924,0.003492842,0.009681663970826438,acc_std
80,0.9239647,0.0022558868,0.006252999168142963,acc_std
81,0.9794384,0.004542963,0.012592451295382267,acc_std
82,0.9822568,0.004809431,0.01333106203977223,acc_std
83,0.97362167,0.0027684097,0.007673640106474723,acc_std
84,0.9471343,0.0030905325,0.008566519024348258,acc_std
85,0.98504305,0.0029224372,0.008100582505730246,acc_std
86,0.9824737,0.0060530948,0.01677832263787966,acc_std
87,0.9639181,0.0034864102,0.009663836170007694,acc_std
88,0.89998555,0.002611506,0.0072387254069182306,acc_std
89,0.8749994,0.0012180005,0.003376125259143309,acc_std
90,0.9702291,0.0011572654,0.0032077760013792646,acc_std
91,0.8989294,0.0041161217,0.011409307203035776,acc_std
92,0.93937576,0.0020900078,0.005793205960993009,acc_std
93,0.9765945,0.0041271686,0.01143992759970701,acc_std
94,0.9779289,0.0038253635,0.010603366565219187,acc_std
95,0.9426109,0.0040472136,0.011218303717852098,acc_std
96,0.9722722,0.0040265024,0.011160895153052266,acc_std
97,0.968915,0.0028044395,0.007773509737711988,acc_std
98,0.98363423,0.0026580675,0.007367787223010487,acc_std
99,0.95776135,0.0025797826,0.00715079260611622,acc_std
100,0.97309935,0.0020061804,0.005560848225126464,acc_std
101,0.9566549,0.0031477653,0.008725160249466199,acc_std
102,0.9801637,0.0026699533,0.007400732900826736,acc_std
103,0.9774679,0.0029348515,0.008134993181658954,acc_std
104,0.98211545,0.006114624,0.01694887294236729,acc_std
105,0.80831456,0.0020043412,0.005555750418919279,acc_std
106,0.9466991,0.003571676,0.00990018102408515,acc_std
107,0.94493014,0.002957749,0.008198461804730146,acc_std
108,0.96011484,0.0024354844,0.006750818434228668,acc_std
109,0.95108414,0.0011201462,0.0031048869896710134,acc_std
110,0.9764721,0.0012717996,0.0035252485141455954,acc_std
111,0.9836048,0.003391378,0.009400420474157031,acc_std
112,0.960058,0.0027815402,0.007710035951651854,acc_std
113,0.98083794,0.004658131,0.012911680192449503,acc_std
114,0.97904485,0.004426493,0.012269612178296928,acc_std
115,0.9876024,0.0022524828,0.00624356380585039,acc_std
116,0.917735,0.0035145178,0.009741746318524912,acc_std
117,0.981736,0.0035338218,0.009795254245178622,acc_std
118,0.9496683,0.0014308151,0.003966017075102551,acc_std
119,0.7867419,0.003204519,0.00888247329567866,acc_std
120,0.95797473,0.0012799328,0.0035477927053633907,acc_std
121,0.9619177,0.0036279159,0.010056069730723075,acc_std
122,0.9693659,0.0026365204,0.007308061766922669,acc_std
123,0.9825842,0.005809308,0.016102580319096314,acc_std
124,0.9765302,0.005516867,0.015291975566143715,acc_std
125,0.9268571,0.002301931,0.006380626964056416,acc_std
126,0.85485935,0.0015869765,0.004398874323565424,acc_std
127,0.9474679,0.002411223,0.00668356921250427,acc_std
128,0.3897183,0.003907783,0.010831821726818756,gravity
129,0.3897183,0.003907783,0.010831821726818756,gravity
130,0.3897753,0.0038370942,0.010635882424205967,gravity
131,0.38976684,0.0037530873,0.01040302710528008,gravity
132,0.38966313,0.0036700342,0.010172815882066415,gravity
133,0.38945818,0.0035879293,0.009945232620224525,gravity
134,0.3891466,0.00350679,0.009720325722775747,gravity
135,0.38870963,0.0034267444,0.009498450790583502,gravity
136,0.3881352,0.00334787,0.009279822087688907,gravity
137,0.38743356,0.003270197,0.009064523512662279,gravity
138,0.38656992,0.003193775,0.008852692530084215,gravity
139,0.38552397,0.0031186952,0.0086445821264129,gravity
140,0.384325,0.0030450826,0.008440538221907488,gravity
141,0.38293016,0.0029729141,0.008240497569953433,gravity
142,0.38130772,0.0029022787,0.008044706057899125,gravity
143,0.37948155,0.0028333138,0.007853545101552699,gravity
144,0.37744823,0.0027660339,0.007667054714078456,gravity
145,0.37514088,0.0027004941,0.007485387849023824,gravity
146,0.37255818,0.0026368205,0.007308893653516043,gravity
147,0.36979336,0.0025750552,0.0071376889401799405,gravity
148,0.36671567,0.002515248,0.00697191181896973,gravity
149,0.36330128,0.0024575398,0.006811952740924194,gravity
150,0.3597222,0.0024018984,0.006657722644484073,gravity
151,0.3558464,0.0023484232,0.006509497104184179,gravity
152,0.35162425,0.0022972794,0.006367733689919547,gravity
153,0.34720054,0.0022484097,0.006232273639780192,gravity
154,0.3426076,0.0022017895,0.0061030491895362445,gravity
155,0.33770514,0.0021577226,0.005980901906385345,gravity
156,0.3325674,0.002116247,0.005865937631600815,gravity
157,0.32749975,0.0020768906,0.005756846902112093,gravity
158,0.3222226,0.0020402807,0.00565536964519283,gravity
159,0.31676996,0.002006568,0.005561922772200139,gravity
160,0.3115851,0.0019748954,0.0054741306628468146,gravity
161,0.30643207,0.0019459381,0.005393865223311351,gravity
162,0.30128956,0.0019200101,0.005321996417230575,gravity
163,0.29648075,0.0018964263,0.005256625555420849,gravity
164,0.29208452,0.0018750754,0.005197443826606048,gravity
165,0.28790984,0.0018568033,0.005146796195826529,gravity
166,0.28410956,0.0018413645,0.0051040021166023,gravity
167,0.28109437,0.0018272751,0.005064948300180163,gravity
168,0.27847847,0.0018162162,0.005034294344080804,gravity
169,0.27630827,0.0018082497,0.005012212563060179,gravity
170,0.27503034,0.0018011763,0.004992606112550714,gravity
171,0.27432826,0.0017965537,0.004979792864742455,gravity
172,0.2741342,0.0017948315,0.004975019036091418,gravity
173,0.27467215,0.0017944508,0.004973963850226277,gravity
174,0.2759202,0.0017952047,0.004976053570000788,gravity
175,0.27763885,0.0017985856,0.004985425040305197,gravity
176,0.27986908,0.0018039851,0.005000391577189322,gravity
177,0.28282458,0.0018088811,0.005013962493624906,gravity
178,0.28614616,0.0018160908,0.005033946810387606,gravity
179,0.28979516,0.0018255797,0.005060248689495176,gravity
180,0.29400188,0.0018339936,0.005083570878609257,gravity
181,0.29850003,0.0018437629,0.005110650110239495,gravity
182,0.3031926,0.0018554952,0.00514317016415479,gravity
183,0.30818236,0.0018670288,0.005175139714374083,gravity
184,0.31343108,0.0018782048,0.0052061179707163984,gravity
185,0.31875613,0.001891063,0.005241759051447486,gravity
186,0.3241652,0.0019048263,0.005279909022117861,gravity
187,0.32980558,0.0019164308,0.005312075088603781,gravity
188,0.33543134,0.0019294864,0.005348263446162782,gravity
189,0.3410141,0.0019439614,0.005388386001296033,gravity
190,0.34673563,0.0019559753,0.005421686957288894,gravity
191,0.35241917,0.0019684944,0.005456388051345623,gravity
192,0.358003,0.0019822572,0.005494536731268762,gravity
193,0.3635851,0.0019948927,0.005529560512134402,gravity
194,0.36916012,0.002006328,0.005561257392000164,gravity
195,0.3745995,0.0020188738,0.005596032704022941,gravity
196,0.37992662,0.0020317235,0.005631650228616979,gravity
197,0.3852842,0.0020416873,0.005659268347218099,gravity
198,0.39048508,0.0020526648,0.005689696422551221,gravity
199,0.39551964,0.0020646413,0.005722893796078422,gravity
200,0.4005563,0.002073666,0.005747909122878861,gravity
201,0.4054585,0.0020828522,0.005773371693596453,gravity
202,0.410185,0.0020929736,0.005801426730136839,gravity
203,0.4148288,0.0021016838,0.0058255701571796,gravity
204,0.4193934,0.0021089606,0.005845740664231042,gravity
205,0.4237775,0.0021171332,0.00586839392359025,gravity
206,0.4280075,0.0021254276,0.005891384713351579,gravity
207,0.43220744,0.0021307652,0.0059061799035401725,gravity
208,0.43622485,0.0021369744,0.0059233907271802775,gravity
209,0.44005597,0.0021440517,0.005943008149041245,gravity
210,0.44384265,0.0021482361,0.005954606803700762,gravity
211,0.44747376,0.0021525302,0.005966509429334272,gravity
212,0.45091757,0.002157686,0.005980800582727346,gravity
213,0.45425206,0.0021615012,0.005991375674828995,gravity
214,0.45747972,0.0021639792,0.005998244386243486,gravity
215,0.46051905,0.0021673187,0.006007500980043922,gravity
216,0.4633928,0.0021708086,0.006017174485201472,gravity
217,0.4662011,0.0021716005,0.006019369400875688,gravity
218,0.46881938,0.0021732633,0.006023978659254181,gravity
