pipeline,improved,not_improved,auc_L2_change,auc_top_dim_change
standard,25,11,0.40727272727272723,0.7090909090909091
adv,25,11,0.4763636363636363,0.68
alt,25,11,0.41818181818181815,0.6763636363636364
