dim,stream,icc,rho_arat,rho_fma,cohens_d,abs_d,abs_rho
0,acc_mean,0.9794761,0.6369647192613377,0.6339003767360223,-1.4025349617004395,1.4025349617004395,0.6369647192613377
1,acc_mean,0.9637167,0.6605808687927457,0.6356728973092692,-1.0101083517074585,1.0101083517074585,0.6605808687927457
2,acc_mean,0.9690245,0.5525985415353325,0.5179255620560975,-0.6797901391983032,0.6797901391983032,0.5525985415353325
3,acc_mean,0.98030233,-0.6038239056189181,-0.6034898939691005,1.2584915161132812,1.2584915161132812,0.6038239056189181
4,acc_mean,0.96962166,-0.6870131473682761,-0.6745709076902331,1.2461273670196533,1.2461273670196533,0.6870131473682761
5,acc_mean,0.9853609,0.7001359835078925,0.6867434529881847,-1.2867945432662964,1.2867945432662964,0.7001359835078925
6,acc_mean,0.9472335,-0.5746142129984972,-0.5577307132016419,1.265162467956543,1.265162467956543,0.5746142129984972
7,acc_mean,0.94548136,0.7387518723416756,0.7110096617784724,-1.2095876932144165,1.2095876932144165,0.7387518723416756
8,acc_mean,0.98016334,0.5386843708114176,0.5292087536632839,-1.3406429290771484,1.3406429290771484,0.5386843708114176
9,acc_mean,0.93795305,0.6328694466425961,0.6214030240031827,-1.1835590600967407,1.1835590600967407,0.6328694466425961
10,acc_mean,0.98299116,0.6900592435078354,0.6812518872854685,-1.29156494140625,1.29156494140625,0.6900592435078354
11,acc_mean,0.9890895,-0.7159061512949807,-0.7030008384553728,1.2755564451217651,1.2755564451217651,0.7159061512949807
12,acc_mean,0.9562913,-0.0032776118349655825,-0.04063650350865097,0.5144850015640259,0.5144850015640259,0.0032776118349655825
13,acc_mean,0.8106118,-0.08642658998512245,-0.11135558894519398,0.15079358220100403,0.15079358220100403,0.08642658998512245
14,acc_mean,0.9682719,-0.590632156780669,-0.5794626506487663,1.3240880966186523,1.3240880966186523,0.590632156780669
15,acc_mean,0.9432944,0.4684150986057014,0.47597126838304304,-1.0801472663879395,1.0801472663879395,0.4684150986057014
16,acc_mean,0.9719794,-0.6709812661863809,-0.6505382509126508,1.0920798778533936,1.0920798778533936,0.6709812661863809
17,acc_mean,0.9064316,-0.02365021873073205,0.012225133168362094,-0.5257712602615356,0.5257712602615356,0.02365021873073205
18,acc_mean,0.97645295,0.6281253106367292,0.6286972709695282,-1.2223519086837769,1.2223519086837769,0.6281253106367292
19,acc_mean,0.9335517,-0.2731265765806189,-0.2981523447493765,0.7864030599594116,0.7864030599594116,0.2731265765806189
20,acc_mean,0.94398564,0.7374858918667953,0.7195126564132232,-0.942264199256897,0.942264199256897,0.7374858918667953
21,acc_mean,0.98515177,0.6745198171161688,0.6542209485434543,-1.230312466621399,1.230312466621399,0.6745198171161688
22,acc_mean,0.9598562,0.531621206351565,0.5070398728811313,-0.8478602170944214,0.8478602170944214,0.531621206351565
23,acc_mean,0.977566,-0.6841861781243689,-0.6635661224558079,1.0634385347366333,1.0634385347366333,0.6841861781243689
24,acc_mean,0.9663684,0.4930362895171675,0.468617473386968,-0.7727715969085693,0.7727715969085693,0.4930362895171675
25,acc_mean,0.9316043,-0.6236707628251165,-0.5982558541611883,1.0574709177017212,1.0574709177017212,0.6236707628251165
26,acc_mean,0.9779169,-0.39984541486626196,-0.4113516025630785,1.0427050590515137,1.0427050590515137,0.39984541486626196
27,acc_mean,0.949781,-0.6824130311595517,-0.6722036801707267,1.239692211151123,1.239692211151123,0.6824130311595517
28,acc_mean,0.95749795,0.5388268420085908,0.5026773996901691,-0.3334634602069855,0.3334634602069855,0.5388268420085908
29,acc_mean,0.96197695,0.35863252388400874,0.38099834777277974,-0.9723801016807556,0.9723801016807556,0.35863252388400874
30,acc_mean,0.9694499,0.6616292709719432,0.6609823566463762,-1.2543150186538696,1.2543150186538696,0.6616292709719432
31,acc_mean,0.9558431,0.7050473683104408,0.6846816991276803,-0.9765635132789612,0.9765635132789612,0.7050473683104408
32,acc_mean,0.95355594,0.5337087191101445,0.5476848832511723,-1.0777065753936768,1.0777065753936768,0.5337087191101445
33,acc_mean,0.975134,0.6451777191983752,0.639616987590054,-1.2664178609848022,1.2664178609848022,0.6451777191983752
34,acc_mean,0.97269195,-0.47181659843820883,-0.4888854573239894,1.0799596309661865,1.0799596309661865,0.47181659843820883
35,acc_mean,0.98610663,-0.7080609438506453,-0.6978974949724512,1.293763279914856,1.293763279914856,0.7080609438506453
36,acc_mean,0.9840497,0.690011236908788,0.6674916523117421,-1.0909067392349243,1.0909067392349243,0.690011236908788
37,acc_mean,0.9437094,-0.6724686964568672,-0.6531305235834725,1.097266674041748,1.097266674041748,0.6724686964568672
38,acc_mean,0.9826423,-0.5979376771357128,-0.5955870197378572,1.3117129802703857,1.3117129802703857,0.5979376771357128
39,acc_mean,0.98460996,0.5248391127861354,0.5294221985490676,-1.2509206533432007,1.2509206533432007,0.5248391127861354
40,acc_mean,0.9600967,0.6546861230097093,0.6290537857968698,-1.0794914960861206,1.0794914960861206,0.6546861230097093
41,acc_mean,0.9435759,-0.6770734584654995,-0.657674734267765,1.0643998384475708,1.0643998384475708,0.6770734584654995
42,acc_mean,0.95596343,0.6534162710349057,0.6526363522718214,-1.129442811012268,1.129442811012268,0.6534162710349057
43,acc_mean,0.9532909,0.6458978181840869,0.6310088172144823,-1.2161505222320557,1.2161505222320557,0.6458978181840869
44,acc_mean,0.9478874,-0.4421159996275285,-0.44118516545755626,1.350119948387146,1.350119948387146,0.4421159996275285
45,acc_mean,0.95621324,0.25609894561848134,0.2777173169886984,-0.8077277541160583,0.8077277541160583,0.25609894561848134
46,acc_mean,0.96754557,-0.40573783774934447,-0.3699084939244553,0.48188143968582153,0.48188143968582153,0.40573783774934447
47,acc_mean,0.98953116,-0.7018262803743537,-0.6908476269333074,1.326464295387268,1.326464295387268,0.7018262803743537
48,acc_mean,0.7987979,-0.3661378136350886,-0.37216281219278624,1.1700485944747925,1.1700485944747925,0.3661378136350886
49,acc_mean,0.98637414,0.6908761299916267,0.678321660212156,-1.2500337362289429,1.2500337362289429,0.6908761299916267
50,acc_mean,0.9802591,-0.5788891232136744,-0.5845033526978164,1.1979286670684814,1.1979286670684814,0.5788891232136744
51,acc_mean,0.9790986,0.6220362155575492,0.6205631647786861,-1.2192175388336182,1.2192175388336182,0.6220362155575492
52,acc_mean,0.9841154,-0.6929481567505136,-0.6773487846095625,1.2533437013626099,1.2533437013626099,0.6929481567505136
53,acc_mean,0.9518414,0.6307919997838168,0.6290445055844442,-0.922939121723175,0.922939121723175,0.6307919997838168
54,acc_mean,0.9748597,0.6748814152089941,0.6691412100703528,-1.2999740839004517,1.2999740839004517,0.6748814152089941
55,acc_mean,0.9225456,0.12088913370131621,0.1437868379677416,-0.7389285564422607,0.7389285564422607,0.12088913370131621
56,acc_mean,0.9832634,-0.6409415239824299,-0.639811872050987,1.2397716045379639,1.2397716045379639,0.6409415239824299
57,acc_mean,0.78049093,-0.5946368363012081,-0.5885309648904296,1.0084363222122192,1.0084363222122192,0.5946368363012081
58,acc_mean,0.96013147,0.3178276889936588,0.3297723485357391,-0.7514682412147522,0.7514682412147522,0.3178276889936588
59,acc_mean,0.97855645,-0.662294394658746,-0.6606745629342679,1.2126646041870117,1.2126646041870117,0.662294394658746
60,acc_mean,0.91686547,0.09959975562374034,0.12374389918203561,-0.4226846396923065,0.4226846396923065,0.09959975562374034
61,acc_mean,0.9206706,0.12256936466797705,0.15700186046147716,-0.6930843591690063,0.6930843591690063,0.12256936466797705
62,acc_mean,0.84134483,0.01630056327656401,-0.006697219966979742,0.3655257523059845,0.3655257523059845,0.01630056327656401
63,acc_mean,0.95156354,0.2836129212725487,0.30505295603867905,-1.1468547582626343,1.1468547582626343,0.2836129212725487
64,acc_std,0.9610812,0.08743937436502677,0.11421621442531615,-0.7701318264007568,0.7701318264007568,0.08743937436502677
65,acc_std,0.9457504,0.582430771343401,0.5834167944930119,-1.3192462921142578,1.3192462921142578,0.582430771343401
66,acc_std,0.96942896,0.05526024130352557,0.08935607203980453,-0.3612636625766754,0.3612636625766754,0.05526024130352557
67,acc_std,0.9832356,-0.4093398812778727,-0.37165626726456785,0.3971962034702301,0.3971962034702301,0.4093398812778727
68,acc_std,0.97809047,0.402975135404162,0.41937357285378074,-1.1110806465148926,1.1110806465148926,0.402975135404162
69,acc_std,0.9846982,0.4196458140733822,0.42353265472242013,-1.2134045362472534,1.2134045362472534,0.4196458140733822
70,acc_std,0.96530783,0.3612512064320487,0.37802713309458846,-1.1857274770736694,1.1857274770736694,0.3612512064320487
71,acc_std,0.9620669,0.7532653512536991,0.7341127506114461,-1.3787684440612793,1.3787684440612793,0.7532653512536991
72,acc_std,0.97730374,-0.33763428260065614,-0.30671643411592775,0.4186760187149048,0.4186760187149048,0.33763428260065614
73,acc_std,0.9645447,-0.35001766225494496,-0.31291252261193714,0.2539595663547516,0.2539595663547516,0.35001766225494496
74,acc_std,0.9699095,-0.7080160344515365,-0.686894256440097,1.06230890750885,1.06230890750885,0.7080160344515365
75,acc_std,0.98959035,0.6891517639258417,0.6831349970567844,-1.3595134019851685,1.3595134019851685,0.6891517639258417
76,acc_std,0.71311796,-0.14488469022519607,-0.1685526315269286,0.23172283172607422,0.23172283172607422,0.14488469022519607
77,acc_std,0.9749733,0.08737665606627124,0.12079511168387236,-0.4381648004055023,0.4381648004055023,0.08737665606627124
78,acc_std,0.97520643,0.03670801367163912,0.06105142414240747,-0.27420100569725037,0.27420100569725037,0.03670801367163912
79,acc_std,0.96208924,-0.36055820794579924,-0.3177614336041962,0.25149691104888916,0.25149691104888916,0.36055820794579924
80,acc_std,0.9239647,0.09446382382564758,0.11729724495054102,-0.5016204714775085,0.5016204714775085,0.09446382382564758
81,acc_std,0.9794384,0.21537308932656432,0.2420959949449277,-0.7664516568183899,0.7664516568183899,0.21537308932656432
82,acc_std,0.9822568,0.4032995670977247,0.4203951695716076,-1.0166068077087402,1.0166068077087402,0.4032995670977247
83,acc_std,0.97362167,-0.39583376664586123,-0.35879621289610286,0.27215635776519775,0.27215635776519775,0.39583376664586123
84,acc_std,0.9471343,0.350807448239274,0.3792126802319303,-0.7972503304481506,0.7972503304481506,0.350807448239274
85,acc_std,0.98504305,0.5334570716151378,0.5378455380271673,-1.3339577913284302,1.3339577913284302,0.5334570716151378
86,acc_std,0.9824737,-0.314912449551503,-0.28022838780079806,0.22850170731544495,0.22850170731544495,0.314912449551503
