dim,icc,rho_arat,rho_fma,cohens_d,abs_d,stream
94,0.98074406,0.7585398827490416,0.7437958789262906,-1.0627403259277344,1.0627403259277344,acc_std
66,0.96692395,0.7407642780017455,0.719924852515117,-1.1653234958648682,1.1653234958648682,acc_std
82,0.9698918,0.720406382805687,0.7049620566812689,-1.1742233037948608,1.1742233037948608,acc_std
68,0.97106594,0.7145999072208993,0.7057176206429016,-1.2619364261627197,1.2619364261627197,acc_std
116,0.9498751,0.7015723099793929,0.6936115835339985,-1.10001802444458,1.10001802444458,acc_std
90,0.9539904,0.6972261641656292,0.670481427414784,-0.8549919128417969,0.8549919128417969,acc_std
107,0.9394881,0.6909403968903515,0.6706538846956891,-1.0542221069335938,1.0542221069335938,acc_std
11,0.98418045,-0.689370116521509,-0.6863374436945746,1.1361795663833618,1.1361795663833618,acc_mean
27,0.97772235,-0.6892965580229686,-0.6865586220907126,1.207297682762146,1.207297682762146,acc_mean
47,0.9843622,-0.6817858481719962,-0.6681497740429084,1.1681021451950073,1.1681021451950073,acc_mean
23,0.95492005,-0.6792353040226041,-0.6765947673500006,0.9413637518882751,0.9413637518882751,acc_mean
54,0.98354113,0.6785260452366773,0.6607039502736148,-1.117299199104309,1.117299199104309,acc_mean
5,0.9844889,0.6785051391370921,0.6767169568136013,-1.2330248355865479,1.2330248355865479,acc_mean
25,0.9796985,-0.6707505247909592,-0.6597712889248645,1.3090670108795166,1.3090670108795166,acc_mean
16,0.97507846,-0.6697485806108399,-0.6506960145238823,0.9628756046295166,0.9628756046295166,acc_mean
0,0.9718973,0.6610756464829283,0.6584921663122337,-1.2103010416030884,1.2103010416030884,acc_mean
49,0.9769668,0.6607821867887511,0.6619420852813672,-1.1766607761383057,1.1766607761383057,acc_mean
39,0.984948,0.6595580185130412,0.6542000680654971,-1.2193644046783447,1.2193644046783447,acc_mean
56,0.9836066,-0.6587341633293882,-0.6576724142146587,1.2125447988510132,1.2125447988510132,acc_mean
41,0.97504634,-0.6547480670084803,-0.6395922403569199,1.176926851272583,1.176926851272583,acc_mean
63,0.9891219,0.6465536502710739,0.6464394904247764,-1.3689948320388794,1.3689948320388794,acc_mean
35,0.98332214,-0.6403143409948744,-0.637707583883533,1.256641149520874,1.256641149520874,acc_mean
105,0.91626054,0.6386193983285054,0.6205639381297215,-1.033624529838562,1.033624529838562,acc_std
120,0.96632236,-0.6375485414497535,-0.6478183753209801,0.8399465084075928,0.8399465084075928,acc_std
123,0.97211635,0.6319379637610786,0.6002016053663756,-0.694307267665863,0.694307267665863,acc_std
2,0.95461583,0.6240493955176037,0.6321595635552291,-1.0700000524520874,1.0700000524520874,acc_mean
36,0.96831465,0.6235693295271292,0.6006192149255174,-0.8058136701583862,0.8058136701583862,acc_mean
92,0.9636757,0.6191976318138724,0.5872417887143379,-0.6715902090072632,0.6715902090072632,acc_std
1,0.9777009,0.6171890976537258,0.6176112838763811,-1.1485328674316406,1.1485328674316406,acc_mean
43,0.95450646,0.6171774831539564,0.5935399595470263,-0.869672417640686,0.869672417640686,acc_mean
14,0.9819337,-0.6048266240990222,-0.608464087829102,1.2907629013061523,1.2907629013061523,acc_mean
75,0.96712005,0.6015761127635189,0.5863060339614458,-0.9707427024841309,0.9707427024841309,acc_std
109,0.96543014,0.5956279402815425,0.5696797600503489,-0.7936791777610779,0.7936791777610779,acc_std
30,0.9773144,0.5916271322609267,0.5641309663710096,-0.6662425994873047,0.6662425994873047,acc_mean
119,0.97783643,0.590830377576736,0.5594119783527057,-0.6705198884010315,0.6705198884010315,acc_std
18,0.95814127,0.5811500791688125,0.5461892223486158,-0.5878417491912842,0.5878417491912842,acc_mean
91,0.8452638,0.5666776381559748,0.55924648123112,-0.5450422167778015,0.5450422167778015,acc_std
24,0.9719035,0.5650392193884843,0.5442017101875144,-0.8288257122039795,0.8288257122039795,acc_mean
32,0.96728027,0.5643477695022041,0.5300749068229856,-0.5025583505630493,0.5025583505630493,acc_mean
87,0.90714085,0.5374547824358151,0.5016790035034058,-0.7171564698219299,0.7171564698219299,acc_std
103,0.95237565,0.5360827228630395,0.5057893642568119,-0.6480041742324829,0.6480041742324829,acc_std
42,0.97011894,0.5220647959411834,0.53312887006197,-0.9854656457901001,0.9854656457901001,acc_mean
62,0.94946206,0.5160089957613427,0.49516970783803993,-1.1743777990341187,1.1743777990341187,acc_mean
37,0.9725337,-0.5135862111094156,-0.5298034606095434,1.074733018875122,1.074733018875122,acc_mean
44,0.98424447,-0.5088606583031802,-0.523272511115185,1.2170488834381104,1.2170488834381104,acc_mean
10,0.98240626,0.5051641501765263,0.5115995505861328,-1.126070499420166,1.126070499420166,acc_mean
48,0.96506214,-0.4825375560254834,-0.45292463417565704,0.5411986112594604,0.5411986112594604,acc_mean
52,0.91800916,-0.4784438320067112,-0.48812138650096676,0.890869677066803,0.890869677066803,acc_mean
38,0.97558886,-0.4770013111353337,-0.48786386060616255,1.0870755910873413,1.0870755910873413,acc_mean
69,0.9791603,0.46201473493269757,0.45618353543903495,-1.2708830833435059,1.2708830833435059,acc_std
33,0.97843146,0.44832820840426574,0.4662618461329934,-1.0752304792404175,1.0752304792404175,acc_mean
