pipeline,n_pairs,rho_arat,p_arat,rho_fma,p_fma
standard,153,0.020480727203950087,0.8015965305377425,0.03815019537277768,0.6396469598861869
adv,153,0.05591025308188753,0.492437330678792,0.03953869479118032,0.6275020521480071
alt,153,-0.028121336229704405,0.7300512230413592,-0.009627264687257876,0.9059814136895662
