dim,stream,icc,rho_arat,rho_fma,cohens_d,abs_d,abs_rho
0,acc_mean,0.9844456,0.6886980241348447,0.6792427212953746,-1.3451200723648071,1.3451200723648071,0.6886980241348447
1,acc_mean,0.9726131,0.6785206251367848,0.6564976939918131,-1.0740879774093628,1.0740879774093628,0.6785206251367848
2,acc_mean,0.98126894,0.6462733536766357,0.6216373493669234,-0.8693611025810242,0.8693611025810242,0.6462733536766357
3,acc_mean,0.98355645,-0.4998516779819364,-0.508026668802363,1.1485376358032227,1.1485376358032227,0.4998516779819364
4,acc_mean,0.9753035,-0.6641852352212277,-0.655081688245908,1.208797574043274,1.208797574043274,0.6641852352212277
5,acc_mean,0.9894076,0.7001406293078003,0.686552435282429,-1.2494511604309082,1.2494511604309082,0.7001406293078003
6,acc_mean,0.9829495,-0.6369631706613684,-0.6205376441945164,1.2891368865966797,1.2891368865966797,0.6369631706613684
7,acc_mean,0.9272581,-0.3281669166885077,-0.30302445627269897,0.02456599473953247,0.02456599473953247,0.3281669166885077
8,acc_mean,0.9865753,0.6837192752336332,0.6646495872564706,-1.341445803642273,1.341445803642273,0.6837192752336332
9,acc_mean,0.9757962,0.6500170941023523,0.6451015931334513,-1.0634009838104248,1.0634009838104248,0.6500170941023523
10,acc_mean,0.98833746,0.7257196293002616,0.7164633332804515,-1.2690452337265015,1.2690452337265015,0.7257196293002616
11,acc_mean,0.98894775,-0.7086997413379704,-0.7046070885559983,1.2634726762771606,1.2634726762771606,0.7086997413379704
12,acc_mean,0.81074333,-0.3207622859354305,-0.31967779747003633,0.6771219968795776,0.6771219968795776,0.3207622859354305
13,acc_mean,0.9579653,0.4220275608261236,0.42010593628435,-1.1804966926574707,1.1804966926574707,0.4220275608261236
14,acc_mean,0.9848052,-0.691065059187878,-0.679013809388882,1.2957793474197388,1.2957793474197388,0.691065059187878
15,acc_mean,0.97077334,0.6195878790061291,0.6078245265227866,-1.2217713594436646,1.2217713594436646,0.6195878790061291
16,acc_mean,0.9833362,-0.6864525541793994,-0.6667190746273295,1.10337233543396,1.10337233543396,0.6864525541793994
17,acc_mean,0.9863409,-0.6673815455578066,-0.6580358892013194,1.2538444995880127,1.2538444995880127,0.6673815455578066
18,acc_mean,0.97094303,0.6706382512931871,0.6533207679381929,-1.0651230812072754,1.0651230812072754,0.6706382512931871
19,acc_mean,0.9648194,0.19120486390611058,0.16141460146974348,0.257524311542511,0.257524311542511,0.19120486390611058
20,acc_mean,0.96064794,0.6261307138763061,0.5972071901571209,-0.6557407975196838,0.6557407975196838,0.6261307138763061
21,acc_mean,0.9820426,0.6836356508352924,0.6748183800215765,-1.269180417060852,1.269180417060852,0.6836356508352924
22,acc_mean,0.85977805,-0.16556237131490925,-0.14618577287970133,0.022938422858715057,0.022938422858715057,0.16556237131490925
23,acc_mean,0.9807423,-0.6918432306724376,-0.6725354477649339,1.0359139442443848,1.0359139442443848,0.6918432306724376
24,acc_mean,0.9796132,0.6506078849906298,0.6332793758545576,-1.2630705833435059,1.2630705833435059,0.6506078849906298
25,acc_mean,0.97939897,-0.7183204186470767,-0.6966779203895499,1.204444169998169,1.204444169998169,0.7183204186470767
26,acc_mean,0.98174673,-0.5361973192607657,-0.5385330470976806,1.2218358516693115,1.2218358516693115,0.5361973192607657
27,acc_mean,0.9827223,-0.6476175384499642,-0.6272828119256938,1.0215904712677002,1.0215904712677002,0.6476175384499642
28,acc_mean,0.9764673,0.5675231737391977,0.5284091086926307,-0.4141547977924347,0.4141547977924347,0.5675231737391977
29,acc_mean,0.9749722,0.6136110574247212,0.618405515389786,-1.1689106225967407,1.1689106225967407,0.6136110574247212
30,acc_mean,0.9876075,0.6888002317328167,0.6691396633682818,-1.027785062789917,1.027785062789917,0.6888002317328167
31,acc_mean,0.9769488,0.6775690104556668,0.6683353782914158,-1.1200469732284546,1.1200469732284546,0.6775690104556668
32,acc_mean,0.9685962,0.6908908416913349,0.6697544774414629,-0.8799896836280823,0.8799896836280823,0.6908908416913349
33,acc_mean,0.98819256,0.6859740367888941,0.6821992423038922,-1.2834911346435547,1.2834911346435547,0.6859740367888941
34,acc_mean,0.9726271,0.5978308237378329,0.5758340875904443,-1.1881853342056274,1.1881853342056274,0.5978308237378329
35,acc_mean,0.9891833,-0.6710013979859814,-0.6649566076175436,1.2969393730163574,1.2969393730163574,0.6710013979859814
36,acc_mean,0.9899122,0.7108197746959046,0.689737094846404,-1.0880488157272339,1.0880488157272339,0.7108197746959046
37,acc_mean,0.98109466,-0.6540635858220618,-0.6278798389250597,0.8256424069404602,0.8256424069404602,0.6540635858220618
38,acc_mean,0.98904544,-0.63196661286051,-0.6315996574055646,1.2741347551345825,1.2741347551345825,0.63196661286051
39,acc_mean,0.98704535,0.6165843693657247,0.6168766003927054,-1.275921106338501,1.275921106338501,0.6165843693657247
40,acc_mean,0.97571045,-0.5021521232362909,-0.47832380223287596,0.8637087345123291,0.8637087345123291,0.5021521232362909
41,acc_mean,0.97839373,-0.6861738061849303,-0.6736722737870424,1.2802634239196777,1.2802634239196777,0.6861738061849303
42,acc_mean,0.9735387,0.6069598205566953,0.6126046092728906,-1.1434431076049805,1.1434431076049805,0.6069598205566953
43,acc_mean,0.97617954,0.6458250339855311,0.6222243228028284,-1.0753940343856812,1.0753940343856812,0.6458250339855311
44,acc_mean,0.99000853,-0.6880778098471511,-0.6798173211147124,1.3537452220916748,1.3537452220916748,0.6880778098471511
45,acc_mean,0.9793974,0.4550166116715544,0.465567376903161,-1.0967673063278198,1.0967673063278198,0.4550166116715544
46,acc_mean,0.85426605,0.312387457301604,0.30359828274100137,-0.8098732829093933,0.8098732829093933,0.312387457301604
47,acc_mean,0.9885987,-0.6774606084578176,-0.6715215845574616,1.2859221696853638,1.2859221696853638,0.6774606084578176
48,acc_mean,0.93397826,-0.3475965605451439,-0.35576713439024465,1.1377501487731934,1.1377501487731934,0.3475965605451439
49,acc_mean,0.98443395,0.70501717061104,0.6927384702149778,-1.221498727798462,1.221498727798462,0.70501717061104
50,acc_mean,0.9822569,-0.700070942309183,-0.694881425934204,1.1897891759872437,1.1897891759872437,0.700070942309183
51,acc_mean,0.9473436,-0.6061955864718591,-0.6017575876496969,1.356809377670288,1.356809377670288,0.6061955864718591
52,acc_mean,0.97038233,-0.6545777210118602,-0.6550932885114396,1.214633822441101,1.214633822441101,0.6545777210118602
53,acc_mean,0.9632252,-0.5431094952236143,-0.5254324805571913,1.1670829057693481,1.1670829057693481,0.5431094952236143
54,acc_mean,0.98734033,0.6862566562832864,0.6761524105577243,-1.2511473894119263,1.2511473894119263,0.6862566562832864
55,acc_mean,0.9767764,-0.03154033557417625,0.0003410478066325711,-0.483419805765152,0.483419805765152,0.03154033557417625
56,acc_mean,0.98861754,-0.7157768431975464,-0.7071166126660271,1.2528553009033203,1.2528553009033203,0.7157768431975464
57,acc_mean,0.96624887,-0.6318512421627993,-0.6185826127769037,1.1714924573898315,1.1714924573898315,0.6318512421627993
58,acc_mean,0.96505886,-0.23362179136447334,-0.2128014577221572,0.0380869060754776,0.0380869060754776,0.23362179136447334
59,acc_mean,0.97014445,-0.6515556281718248,-0.6251537765251054,0.5557233691215515,0.5557233691215515,0.6515556281718248
60,acc_mean,0.880964,0.23597721191773705,0.2456333025810669,-0.7552564740180969,0.7552564740180969,0.23597721191773705
61,acc_mean,0.93438077,-0.0940085354346814,-0.07979126643338358,-0.30885156989097595,0.30885156989097595,0.0940085354346814
62,acc_mean,0.9586184,0.5094104112922719,0.5108347064120747,-1.2735004425048828,1.2735004425048828,0.5094104112922719
63,acc_mean,0.9910199,0.686374349880951,0.6730133787048409,-1.3240047693252563,1.3240047693252563,0.686374349880951
64,acc_std,0.62549704,-0.5096999994865259,-0.5071651557488739,0.7672748565673828,0.7672748565673828,0.5096999994865259
65,acc_std,0.9216957,0.5254972677730763,0.5209346709350257,-1.1319085359573364,1.1319085359573364,0.5254972677730763
66,acc_std,0.9682459,0.6857223892938874,0.6706059369314912,-1.2267152070999146,1.2267152070999146,0.6857223892938874
67,acc_std,0.7623628,-0.4096612157714968,-0.41935810583307176,0.47362667322158813,0.47362667322158813,0.4096612157714968
68,acc_std,0.98767084,0.7133137949464183,0.7011687698523964,-1.2495036125183105,1.2495036125183105,0.7133137949464183
69,acc_std,0.9808499,0.5679025807316695,0.5583787813693474,-1.2811288833618164,1.2811288833618164,0.5679025807316695
70,acc_std,0.95798826,0.5493542245997063,0.522899755916099,-1.098086953163147,1.098086953163147,0.5493542245997063
71,acc_std,0.9338977,0.45978552527692956,0.4387537498021078,-0.7886976003646851,0.7886976003646851,0.45978552527692956
72,acc_std,0.9737544,0.6870425707676924,0.6663030117702584,-1.1734944581985474,1.1734944581985474,0.6870425707676924
73,acc_std,0.87734807,0.14734154407644712,0.13781115451683487,-0.7662259340286255,0.7662259340286255,0.14734154407644712
74,acc_std,0.9378832,0.49045709626834383,0.4660089603444019,-0.9585445523262024,0.9585445523262024,0.49045709626834383
75,acc_std,0.96201694,0.5708147229738867,0.5474072502294464,-1.0715962648391724,1.0715962648391724,0.5708147229738867
76,acc_std,0.96161646,0.6517933382671081,0.6290638393603305,-1.1379239559173584,1.1379239559173584,0.6517933382671081
77,acc_std,0.96861327,0.5366169898524387,0.5099499928275222,-0.7483810782432556,0.7483810782432556,0.5366169898524387
78,acc_std,0.85351306,0.4327407754135518,0.4115828345226775,-0.9395361542701721,0.9395361542701721,0.4327407754135518
79,acc_std,0.93672776,0.19168415559660046,0.15961192020611417,0.09045988321304321,0.09045988321304321,0.19168415559660046
80,acc_std,0.9484292,0.6325326261492793,0.6004150502521592,-0.9877131581306458,0.9877131581306458,0.6325326261492793
81,acc_std,0.88696176,-0.2536173141677219,-0.2725567455291538,0.4639851152896881,0.4639851152896881,0.2536173141677219
82,acc_std,0.9815471,0.701041914489917,0.6912760634069455,-1.2546114921569824,1.2546114921569824,0.701041914489917
83,acc_std,0.94335365,0.355334005949458,0.3221850015269588,-0.45611149072647095,0.45611149072647095,0.355334005949458
84,acc_std,0.9816184,0.6628960257468084,0.6477611473443571,-1.3481059074401855,1.3481059074401855,0.6628960257468084
85,acc_std,0.9492589,0.6344993481102555,0.6072128058537472,-0.8946287035942078,0.8946287035942078,0.6344993481102555
86,acc_std,0.9423243,0.4646705838800002,0.44098873429455254,-0.8933653831481934,0.8933653831481934,0.4646705838800002
87,acc_std,0.79854226,0.4221320913240495,0.3998124317631588,-0.738448977470398,0.738448977470398,0.4221320913240495
88,acc_std,0.91764724,0.6496462044097114,0.6209977880606078,-1.2139416933059692,1.2139416933059692,0.6496462044097114
89,acc_std,0.895341,-0.3348522227558578,-0.36127480296471376,0.7610945701599121,0.7610945701599121,0.3348522227558578
90,acc_std,0.91124654,0.46188078103535546,0.42776829834356883,-0.578334391117096,0.578334391117096,0.46188078103535546
91,acc_std,0.94047534,0.5693249698034464,0.5369499975281185,-0.5842990875244141,0.5842990875244141,0.5693249698034464
92,acc_std,0.97325975,0.7092533658269853,0.6850181068281002,-0.9759825468063354,0.9759825468063354,0.7092533658269853
93,acc_std,0.81684196,0.20032456912515725,0.1890905149753213,-0.6907467246055603,0.6907467246055603,0.20032456912515725
94,acc_std,0.9813036,0.7329353308570875,0.7151942642312815,-1.0890206098556519,1.0890206098556519,0.7329353308570875
95,acc_std,0.782806,-0.6046508580025097,-0.6077966858855104,1.0821031332015991,1.0821031332015991,0.6046508580025097
96,acc_std,0.92874897,0.3652922780518658,0.3504780491588241,-0.6174789071083069,0.6174789071083069,0.3652922780518658
97,acc_std,0.9545346,-0.5231883052188908,-0.535283426046728,0.8789163827896118,0.8789163827896118,0.5231883052188908
98,acc_std,0.94200945,0.5074266547316336,0.4853489230388856,-0.7715325355529785,0.7715325355529785,0.5074266547316336
99,acc_std,0.7924756,-0.08321943944875879,-0.1021302844433347,0.06504946202039719,0.06504946202039719,0.08321943944875879
100,acc_std,0.94358665,0.3867752311256008,0.35924243644355636,-0.44451624155044556,0.44451624155044556,0.3867752311256008
101,acc_std,0.9870402,0.6547534871083727,0.6434837427672943,-1.381056547164917,1.381056547164917,0.6547534871083727
102,acc_std,0.9323397,-0.6814815482780342,-0.680672647359918,0.9975017309188843,0.9975017309188843,0.6814815482780342
103,acc_std,0.96328837,0.639142050818135,0.6286036954942391,-1.1967933177947998,1.1967933177947998,0.639142050818135
104,acc_std,0.94991505,0.389176335377958,0.36073423059093557,-0.4764893352985382,0.4764893352985382,0.389176335377958
105,acc_std,0.9077498,0.5219478766435033,0.4921706525225725,-0.7514708638191223,0.7514708638191223,0.5219478766435033
106,acc_std,0.89481825,0.5328662807268603,0.5166479861455374,-0.9323933124542236,0.9323933124542236,0.5328662807268603
107,acc_std,0.9698253,0.7362090711921299,0.7185962354362172,-1.1043813228607178,1.1043813228607178,0.7362090711921299
108,acc_std,0.90857255,0.4408213700532166,0.42863213145016427,-1.246856689453125,1.246856689453125,0.4408213700532166
109,acc_std,0.9714052,0.6537739976278077,0.6263308168010574,-1.0284628868103027,1.0284628868103027,0.6537739976278077
110,acc_std,0.9740235,0.618647104524796,0.5905022366797866,-0.7768997550010681,0.7768997550010681,0.618647104524796
111,acc_std,0.7450267,-0.3790748177783925,-0.4027086313909117,0.543908953666687,0.543908953666687,0.3790748177783925
112,acc_std,0.9231539,0.4784546722064961,0.45428650534908105,-0.8742679953575134,0.8742679953575134,0.4784546722064961
113,acc_std,0.73683584,-0.3849873724610755,-0.38928557746864056,0.28549516201019287,0.28549516201019287,0.3849873724610755
114,acc_std,0.8634483,-0.13981999402568984,-0.1532023868243211,0.11482854187488556,0.11482854187488556,0.13981999402568984
115,acc_std,0.8509889,0.3194846909607806,0.3075183991396873,-0.7213206887245178,0.7213206887245178,0.3194846909607806
116,acc_std,0.94174826,0.40990589456664184,0.37885152529837607,-0.4082152843475342,0.4082152843475342,0.40990589456664184
117,acc_std,0.9814849,0.6955196069994909,0.6718564455558106,-1.195263385772705,1.195263385772705,0.6955196069994909
118,acc_std,0.8540773,-0.4603252123662211,-0.4643740962554648,0.5882233381271362,0.5882233381271362,0.4603252123662211
119,acc_std,0.9833624,0.6408517051842121,0.6135937252472287,-0.8930021524429321,0.8930021524429321,0.6408517051842121
120,acc_std,0.9460558,-0.6825539537567554,-0.6764354570366983,0.9194357395172119,0.9194357395172119,0.6825539537567554
121,acc_std,0.9754415,0.6510902738810582,0.6235792338169334,-1.0671765804290771,1.0671765804290771,0.6510902738810582
122,acc_std,0.9650927,0.4659659877542967,0.4601639732184859,-1.1458295583724976,1.1458295583724976,0.4659659877542967
123,acc_std,0.97512275,0.7039393450324263,0.683394843004695,-0.9910289645195007,0.9910289645195007,0.7039393450324263
124,acc_std,0.963995,0.5926732115401703,0.5639275750486868,-0.7676098346710205,0.7676098346710205,0.5926732115401703
125,acc_std,0.9858091,0.7318807342780128,0.7094490393889382,-1.1522533893585205,1.1522533893585205,0.7318807342780128
126,acc_std,0.9343439,-0.16315971846258273,-0.18419365621886455,0.3463403582572937,0.3463403582572937,0.16315971846258273
127,acc_std,0.9165124,0.2478410362823349,0.22521142178799136,-0.5329784750938416,0.5329784750938416,0.2478410362823349
128,gravity,0.34922338,0.03530188489953953,0.05863934226284514,-0.3665085732936859,0.3665085732936859,0.03530188489953953
129,gravity,0.34381762,0.03702857386527855,0.06102435685616679,-0.3882002532482147,0.3882002532482147,0.03702857386527855
130,gravity,0.3356551,0.03938631731849618,0.06343179862951644,-0.4135267734527588,0.4135267734527588,0.03938631731849618
131,gravity,0.32430735,0.04602206818682952,0.0711622155798547,-0.4415035843849182,0.4415035843849182,0.04602206818682952
132,gravity,0.30897775,0.05188197047055726,0.07663831426186204,-0.4723265469074249,0.4723265469074249,0.05188197047055726
133,gravity,0.28879458,0.060740736594781505,0.08582649791401982,-0.5060932040214539,0.5060932040214539,0.060740736594781505
134,gravity,0.26291883,0.07339047544378523,0.0997622835727929,-0.5427026152610779,0.5427026152610779,0.07339047544378523
135,gravity,0.23075052,0.08680289977765572,0.11449848755325467,-0.5817082524299622,0.5817082524299622,0.08680289977765572
136,gravity,0.19225739,0.09457067722352737,0.1212807761341337,-0.6220986843109131,0.6220986843109131,0.09457067722352737
