dim,rho_arat,rho_fma
0,0.6623935050567793,0.6555603925368503
1,0.6430096792413935,0.6226635861909628
2,0.6569509504647707,0.6344479092691195
3,-0.5095575282893527,-0.5182959972020771
4,-0.6415679326700007,-0.6392720730282443
5,0.6885090949385936,0.6776936991713721
6,-0.6074824730463249,-0.5904597023728371
7,-0.20821468596860143,-0.1765282007555039
8,0.6447712117064411,0.6314650943253967
9,0.5782007705273327,0.5609138260635459
10,0.717074569971797,0.7074971013754675
11,-0.6713103436798512,-0.6674808253972458
12,0.2453005580327431,0.22774182637597726
13,0.42948406967817143,0.427513092501871
14,-0.6707605906907596,-0.6650409028804074
15,0.60346850192597,0.6067526619876555
16,-0.6882682876433716,-0.6718819661399805
17,-0.6902752732035489,-0.6817205380129499
18,0.6758415471899432,0.6561620596424287
19,0.03789656414805588,0.007619054401233765
20,0.6915760971777379,0.6738787585135072
21,0.6426782788479691,0.6361044271870493
22,-0.07582487459548184,-0.04780933436243124
23,-0.6853847945005859,-0.6667995031350162
24,0.632692906246099,0.6153507787997665
25,-0.6933778932419867,-0.6809897212844517
26,-0.4884261074086428,-0.5008499711934055
27,-0.6793073139211754,-0.6605748006506952
28,0.5542834183019011,0.5114688542611421
29,0.568382646722144,0.5768262969689241
30,0.6298581940023456,0.6053281493803604
31,0.6765670662755473,0.6674034902937009
32,0.6914769867797045,0.6725996359008762
33,0.6592924336183108,0.657134161893987
34,0.612649376843803,0.5892061003443757
35,-0.6558150523873091,-0.6525636572744893
36,0.637796317444837,0.6137685025812398
37,-0.6570361234630806,-0.6353233426412467
38,-0.5982899836287223,-0.6004722782287824
39,0.5862263898680883,0.5891519657718943
40,-0.44794725281182474,-0.42115846704359466
41,-0.6719019088681135,-0.6647771901773195
42,0.535653760671551,0.5434817203735123
43,0.6872237569640971,0.670051444239075
44,-0.6633304080381893,-0.6555433788140704
45,0.43794949141020045,0.4506347417596955
46,0.21207457139201358,0.2091783081210833
47,-0.6397630394058134,-0.6380161509466769
48,-0.3272176249073436,-0.33507521658580613
49,0.6753398007998987,0.6705054012968829
50,-0.6543957605154708,-0.6530222544385097
51,-0.6655828466934964,-0.6570444531738748
52,-0.5837432098173596,-0.5886717147788811
53,-0.6259340416802086,-0.6030297501030089
54,0.6869535262694592,0.6784523565371468
55,0.09674568588037083,0.1265078557827268
56,-0.6948653235124731,-0.688152498574771
57,-0.580991347671962,-0.5595496348370156
58,0.015644731189577037,0.0383411976354413
59,-0.6583144927377151,-0.63600234485037
60,-0.2078306331762218,-0.1914569691437922
61,0.16028319401965876,0.18568854377038552
62,0.5387625751098659,0.5456115291251361
63,0.666594856773416,0.6569292238695932
64,-0.3752397099544887,-0.3507146945756712
65,0.45190082853337776,0.441956196439898
66,0.6474479667533289,0.6430166387418835
67,-0.47532108016867286,-0.4817250000867763
68,0.6546892202096479,0.6528575306679595
69,0.514920329982944,0.5126196006018887
70,0.6374277506521501,0.6151930151885352
71,0.4273361615207903,0.4252703744990718
72,0.6505227119923198,0.6435510243073782
73,0.056003569288776436,0.05212617984230202
74,0.5983364416278004,0.5794054226721431
75,0.6289228396209047,0.6064959094438869
76,0.5840815789106456,0.5736493709153037
77,0.4307895394522683,0.406168603923506
78,0.46525053456849275,0.4401542885273041
79,-0.19599468361107092,-0.21346576626160704
80,0.6863031142823646,0.6584063243472988
81,-0.4163527162387239,-0.43470835053567924
82,0.6335601222288917,0.6336652780212462
83,0.45746959402288223,0.43009144485405465
84,0.6343483596132515,0.6314117331039507
85,0.6502648700974358,0.6441387710943186
86,0.5101181214782295,0.495085412575176
87,0.3161761071264295,0.3070559352204894
88,0.6183141555314023,0.6057689594705656
89,-0.5437026090118457,-0.5619477963979399
90,0.635631374687794,0.6150019974827795
91,0.520468963672848,0.5082927015585572
92,0.7212132033896781,0.7101334550553097
93,0.49262668482529487,0.47117417191015915
94,0.7039617997319807,0.7019838818437586
95,-0.6214229699697172,-0.613887598640699
96,0.24759016308731274,0.22690660725769343
97,-0.533742014009484,-0.5492617460124508
98,0.5098037556844671,0.4892814130541388
99,-0.5634395156202257,-0.5498216521621151
100,0.6403793821935839,0.6211222975773151
101,0.6471800589586447,0.6381182332833558
102,-0.5962884181684374,-0.6025417655996411
103,0.5624476373399065,0.5636290615490037
104,0.5070511192390851,0.47655746846791264
105,0.5322994931381064,0.5022621101841336
106,0.5754945920810287,0.5501619266177122
107,0.7098046674160463,0.7009081505534505
108,0.5927173466392947,0.5759168361512371
109,0.6298566454023762,0.6102188213285336
110,0.4476003664187076,0.4176466799916253
111,-0.4782928435097071,-0.49719666090194914
112,0.5467982603504218,0.5236205190811366
113,-0.4247523224720588,-0.429914347466937
114,-0.3435507087832623,-0.33930776680281316
115,0.35150354392546207,0.3383696919968147
116,0.6401834842974709,0.6190272896222864
117,0.7252008483105552,0.7043039349501027
118,-0.4728928754168534,-0.4694209851127985
119,0.7120749149710001,0.6972308663798952
120,-0.6818942501698453,-0.6799975119059719
121,0.686487397678708,0.67838894175224
122,0.6266719495655668,0.6147065773872383
123,0.7059354903928188,0.6908940279954342
124,0.6143690971096804,0.5908216306574267
125,0.7013330512841404,0.6998393794224613
126,-0.319507145660335,-0.34258677519311265
127,0.32330431278499155,0.3069979338928308
128,-0.07654265068123972,-0.058005967764813225
129,-0.07654265068123972,-0.058005967764813225
130,-0.07587133259456003,-0.05691167604965429
131,-0.07469826811783598,-0.05627288809437424
132,-0.07322245234711913,-0.05522654414341308
133,-0.07368703233790093,-0.055863012045586795
134,-0.072043193470518,-0.054675918206174096
135,-0.07071372039689743,-0.05355765260891628
136,-0.06933236922430622,-0.052814462263850746
137,-0.06683989757376187,-0.05087799127108893
138,-0.06519838160633286,-0.04965300323093929
139,-0.0635646086387502,-0.04806222015102274
140,-0.06136172518245984,-0.046490770846992394
141,-0.06194941887079882,-0.04728964246661019
142,-0.05904269672847404,-0.044698916497859356
143,-0.05832724354267007,-0.04453187267420259
144,-0.0575692038577111,-0.04400986072527518
145,-0.05308213544674357,-0.040173266238417625
146,-0.05252154225786687,-0.03953215823003123
147,-0.05246114685906523,-0.03971389572336151
148,-0.05130511698200319,-0.03899777266453665
149,-0.04913630272503684,-0.03715874390224129
150,-0.04544908619819863,-0.03420840970200715
151,-0.04423188662235032,-0.033773013069049916
152,-0.04051524669609594,-0.031340824062565935
153,-0.03646333487649403,-0.02745086835426246
154,-0.03430613511929721,-0.02632409589561471
155,-0.03164486607210215,-0.0232631724973115
156,-0.027441191455511518,-0.019416524446993114
157,-0.024599510511896187,-0.017583682492981336
158,-0.019515456812774046,-0.013109846752914616
159,-0.01669081046882072,-0.010533041102801857
160,-0.012991979442212972,-0.007850286360832721
161,-0.008195965337375547,-0.003039269569310668
162,-0.006099160978980367,-0.0007447370471364309
163,-0.003044547539590048,0.0020246330108028825
164,0.0008827019824854156,0.005735944629917868
165,0.007006640560974145,0.011228283683669614
166,0.011856081364751478,0.015437633369613119
167,0.011029128981159876,0.013041018510759743
168,0.014421337213851637,0.015012290300116714
169,0.01920496251893488,0.01860682591287905
170,0.027984750044726222,0.02645247216749908
171,0.03337310363781044,0.030429043191772732
172,0.036296086079812585,0.032599839548275285
173,0.042571787455290035,0.03884696921262429
174,0.04978439181217744,0.046203084261805735
175,0.055909878990635445,0.05302713379859895
176,0.060136782606765166,0.05682196732954232
177,0.06721853026624904,0.06451139667500186
178,0.0708647088939015,0.06911670209109473
179,0.0765658796807788,0.07486966044379245
180,0.08172968627831849,0.08005652583854225
181,0.08561512360122359,0.08452340141928993
182,0.08712113707134125,0.08731674535932814
183,0.09171583318017322,0.09340611141244573
184,0.096936937976576,0.09886596972270865
185,0.09892379173715282,0.10155955137917408
186,0.1022269554716114,0.10561964431527612
187,0.1043198883300834,0.10772393248273014
