dim,icc
0,0.9718971848487854
1,0.9777008891105652
2,0.9546158313751221
3,0.9740503430366516
4,0.9139205813407898
5,0.9844889044761658
6,0.9715698957443237
7,0.9317233562469482
8,0.96296626329422
9,0.966637372970581
10,0.9824062585830688
11,0.9841805696487427
12,0.9231333136558533
13,0.9708501696586609
14,0.9819337129592896
15,0.9686040282249451
16,0.9750784635543823
17,0.9736911654472351
18,0.9581412672996521
19,0.9712274074554443
20,0.9383738040924072
21,0.9609001278877258
22,0.9551345109939575
23,0.9549200534820557
24,0.9719035029411316
25,0.9796985387802124
26,0.9646105170249939
27,0.9777223467826843
28,0.9366098046302795
29,0.9693928956985474
30,0.9773144125938416
31,0.9474939107894897
32,0.9672805070877075
33,0.9784314632415771
34,0.9460659623146057
35,0.9833221435546875
36,0.9683146476745605
37,0.9725337028503418
38,0.975588858127594
39,0.9849479794502258
40,0.9693781137466431
41,0.9750463366508484
42,0.9701189398765564
43,0.9545064568519592
44,0.9842445850372314
45,0.9752939939498901
46,0.8930134773254395
47,0.9843621850013733
48,0.965062141418457
49,0.9769667983055115
50,0.9700930118560791
51,0.9653171896934509
52,0.918009340763092
53,0.9588757157325745
54,0.9835411310195923
55,0.9689645767211914
56,0.9836065769195557
57,0.9593988656997681
58,0.8817883133888245
59,0.9598514437675476
60,0.9621949195861816
61,0.9532310366630554
62,0.9494620561599731
63,0.9891219139099121
64,0.9025877118110657
65,0.9155887961387634
66,0.9669238328933716
67,0.9710094928741455
68,0.9710660576820374
69,0.979160487651825
70,0.9457175135612488
71,0.9512740969657898
72,0.9700924158096313
73,0.9720360636711121
74,0.9667297601699829
75,0.9671200513839722
76,0.9514493942260742
77,0.9675893187522888
78,0.9471370577812195
79,0.9702118039131165
80,0.9486821293830872
81,0.9630671739578247
82,0.9698917865753174
83,0.9688237905502319
84,0.9682083129882812
85,0.9561702609062195
86,0.9680852293968201
87,0.907140851020813
88,0.9749963283538818
89,0.9302487969398499
90,0.9539904594421387
91,0.8452638387680054
92,0.9636756777763367
93,0.9696459770202637
94,0.9807441830635071
95,0.9592254757881165
96,0.9659032821655273
97,0.9745896458625793
98,0.9185528755187988
99,0.838180422782898
100,0.950122594833374
101,0.9575971364974976
102,0.9488398432731628
103,0.9523755311965942
104,0.9697847366333008
105,0.9162605404853821
106,0.9463469982147217
107,0.9394881129264832
108,0.9565979838371277
109,0.9654301404953003
110,0.9433263540267944
111,0.944710373878479
112,0.9657872915267944
113,0.9079922437667847
114,0.9696774482727051
115,0.9144784808158875
116,0.9498749375343323
117,0.96044921875
118,0.8289265632629395
119,0.9778364300727844
120,0.9663223624229431
121,0.9700130224227905
122,0.9364919662475586
123,0.9721163511276245
124,0.9749855995178223
125,0.9625600576400757
126,0.937812089920044
127,0.9238929748535156
128,0.3335626721382141
129,0.37700125575065613
130,0.41100016236305237
131,0.4289185404777527
132,0.42760056257247925
133,0.40429195761680603
134,0.35632526874542236
135,0.28301873803138733
136,0.19225585460662842
137,0.11158092319965363
138,0.08426976203918457
139,0.12206076830625534
140,0.1825401335954666
141,0.2202511578798294
142,0.2194194197654724
143,0.18449728190898895
144,0.12826381623744965
145,0.06773309409618378
146,0.020249947905540466
147,-0.0046163201332092285
148,-0.009386645630002022
149,-0.0036485393065959215
150,0.007648456376045942
151,0.027682414278388023
152,0.06215581297874451
153,0.11199173331260681
154,0.1674286276102066
155,0.21051089465618134
156,0.22758246958255768
157,0.21912622451782227
158,0.19772005081176758
159,0.1782948225736618
160,0.1684337854385376
161,0.16747930645942688
162,0.1656796783208847
163,0.1483607292175293
164,0.10772654414176941
165,0.05307168513536453
166,0.004738345742225647
167,-0.0204421728849411
168,-0.013445600867271423
169,0.02507157437503338
170,0.08567407727241516
171,0.15198145806789398
172,0.2019527554512024
173,0.22107207775115967
174,0.21288983523845673
175,0.19236142933368683
176,0.1722673922777176
177,0.15626172721385956
178,0.13815557956695557
179,0.10260305553674698
180,0.03697898983955383
181,-0.055622391402721405
182,-0.1558283269405365
183,-0.24031305313110352
184,-0.2923927307128906
185,-0.30345240235328674
186,-0.2717335820198059
187,-0.20386721193790436
188,-0.11570613831281662
189,-0.02765975520014763
190,0.04835858941078186
191,0.11043842136859894
192,0.15962350368499756
193,0.19441132247447968
194,0.21027371287345886
195,0.20383526384830475
196,0.17850801348686218
197,0.14622874557971954
198,0.12218935042619705
199,0.1149367019534111
200,0.11909952014684677
201,0.11944662779569626
202,0.10088980197906494
203,0.058440178632736206
204,-0.0008388494607061148
205,-0.06401950120925903
206,-0.11942621320486069
207,-0.1598927229642868
208,-0.1826557070016861
209,-0.1897905468940735
210,-0.1856461614370346
211,-0.17402614653110504
212,-0.15696705877780914
213,-0.1354699432849884
214,-0.11221686005592346
215,-0.09369872510433197
216,-0.08999505639076233
217,-0.11133534461259842
218,-0.162833571434021
219,-0.234466090798378
220,-0.3043348789215088
221,-0.3523872196674347
222,-0.36752042174339294
223,-0.34908246994018555
224,-0.30370673537254333
225,-0.2415979504585266
226,-0.1739325076341629
227,-0.10787848383188248
228,0.0165849756449461
229,0.09392235428094864
230,0.15250276029109955
231,0.18217861652374268
232,0.1808231621980667
233,0.1589818298816681
234,0.12990973889827728
235,0.10082037001848221
236,0.07301590591669083
237,0.0456940159201622
238,0.01926874928176403
239,-0.0015694773755967617
240,-0.00872452836483717
241,0.005095803644508123
242,0.041349805891513824
243,0.09202981740236282
244,0.14000260829925537
245,0.1641671359539032
246,0.14919500052928925
247,0.0954144299030304
248,0.02036087028682232
249,-0.051388125866651535
250,-0.10449479520320892
251,-0.1351175159215927
252,-0.14873355627059937
253,-0.15456171333789825
254,-0.15813493728637695
255,-0.1580381691455841
256,-0.14965730905532837
257,-0.12997844815254211
258,-0.09878275543451309
259,-0.06069330498576164
260,-0.02340642921626568
261,0.004329136107116938
262,0.014297622255980968
263,0.0026805840898305178
264,-0.027136608958244324
265,-0.06563860923051834
266,-0.1011887714266777
267,-0.12346094846725464
268,-0.12383457273244858
269,-0.0990903452038765
270,-0.052511315792798996
271,0.009131534025073051
272,0.07691608369350433
273,0.1420997679233551
274,0.19654987752437592
275,0.2323143482208252
276,0.24245159327983856
277,0.22384153306484222
278,0.17944036424160004
279,0.11940716952085495
280,0.05557883903384209
281,-0.0038004606030881405
282,-0.05394752323627472
283,-0.09207882732152939
284,-0.11603675782680511
285,-0.12406772375106812
286,-0.11583277583122253
287,-0.09409935772418976
288,-0.06580591201782227
289,-0.04315289482474327
