dim,icc
0,0.9794760942459106
1,0.9637166857719421
2,0.9690244793891907
3,0.9803023338317871
4,0.9696216583251953
5,0.9853609204292297
6,0.9472334980964661
7,0.9454813599586487
8,0.9801633358001709
9,0.9379530549049377
10,0.9829911589622498
11,0.9890894889831543
12,0.9562913179397583
13,0.8106117844581604
14,0.9682719111442566
15,0.9432944059371948
16,0.9719793796539307
17,0.9064316153526306
18,0.9764529466629028
19,0.9335517287254333
20,0.943985641002655
21,0.9851517677307129
22,0.9598562121391296
23,0.9775660037994385
24,0.9663683772087097
25,0.9316043257713318
26,0.9779168963432312
27,0.9497810006141663
28,0.9574979543685913
29,0.961976945400238
30,0.9694498777389526
31,0.9558430910110474
32,0.9535559415817261
33,0.975134015083313
34,0.9726919531822205
35,0.9861066341400146
36,0.9840496778488159
37,0.9437093734741211
38,0.9826422929763794
39,0.9846099615097046
40,0.9600967168807983
41,0.943575918674469
42,0.9559634327888489
43,0.9532908797264099
44,0.9478874206542969
45,0.9562132358551025
46,0.9675455689430237
47,0.9895311594009399
48,0.7987979054450989
49,0.9863741397857666
50,0.980259120464325
51,0.9790986180305481
52,0.9841154217720032
53,0.951841413974762
54,0.9748597145080566
55,0.9225456118583679
56,0.983263373374939
57,0.7804909348487854
58,0.9601314663887024
59,0.9785564541816711
60,0.9168654680252075
61,0.9206706285476685
62,0.8413448333740234
63,0.9515635371208191
64,0.9610812067985535
65,0.9457504153251648
66,0.9694289565086365
67,0.9832355976104736
68,0.9780904650688171
69,0.9846981763839722
70,0.9653078317642212
71,0.9620668888092041
72,0.9773037433624268
73,0.9645447134971619
74,0.9699094891548157
75,0.9895903468132019
76,0.7131179571151733
77,0.9749733209609985
78,0.9752064347267151
79,0.9620892405509949
80,0.9239646792411804
81,0.9794384241104126
82,0.9822568297386169
83,0.973621666431427
84,0.9471343159675598
85,0.9850430488586426
86,0.9824736714363098
87,0.9639180898666382
88,0.8999855518341064
89,0.8749994039535522
90,0.9702290892601013
91,0.8989294171333313
92,0.9393757581710815
93,0.9765945076942444
94,0.977928876876831
95,0.9426109194755554
96,0.9722722172737122
97,0.9689149856567383
98,0.9836342334747314
99,0.9577613472938538
100,0.9730993509292603
101,0.9566549062728882
102,0.9801636934280396
103,0.9774678945541382
104,0.9821154475212097
105,0.8083145618438721
106,0.9466990828514099
107,0.9449301362037659
108,0.9601148366928101
109,0.9510841369628906
110,0.9764720797538757
111,0.9836047887802124
112,0.9600579738616943
113,0.9808379411697388
114,0.9790448546409607
115,0.9876024127006531
116,0.9177349805831909
117,0.9817360043525696
118,0.949668288230896
119,0.7867419123649597
120,0.9579747319221497
121,0.9619176983833313
122,0.9693658947944641
123,0.9825841784477234
124,0.9765301942825317
125,0.9268571138381958
126,0.8548593521118164
127,0.9474679231643677
128,0.38971829414367676
129,0.38971829414367676
130,0.3897753059864044
131,0.3897668421268463
132,0.38966313004493713
133,0.38945817947387695
134,0.3891465961933136
135,0.3887096345424652
136,0.3881351947784424
137,0.38743355870246887
138,0.38656991720199585
139,0.3855239748954773
140,0.3843249976634979
141,0.3829301595687866
142,0.3813077211380005
143,0.37948155403137207
144,0.3774482309818268
145,0.37514087557792664
146,0.3725581765174866
147,0.3697933554649353
148,0.366715669631958
149,0.36330127716064453
150,0.35972219705581665
151,0.3558464050292969
152,0.3516242504119873
153,0.34720054268836975
154,0.3426075875759125
155,0.337705135345459
156,0.33256739377975464
157,0.32749974727630615
158,0.32222259044647217
159,0.31676995754241943
160,0.31158509850502014
161,0.3064320683479309
162,0.30128955841064453
163,0.2964807450771332
164,0.2920845150947571
165,0.2879098355770111
166,0.28410956263542175
167,0.28109437227249146
168,0.2784784734249115
169,0.2763082683086395
170,0.27503034472465515
171,0.2743282616138458
172,0.27413418889045715
173,0.27467215061187744
174,0.27592021226882935
175,0.27763885259628296
176,0.27986907958984375
177,0.2828245759010315
178,0.2861461639404297
179,0.2897951602935791
180,0.29400187730789185
181,0.29850003123283386
182,0.3031925857067108
183,0.30818235874176025
184,0.3134310841560364
185,0.3187561333179474
