target,pipeline,r2,rmse,spearman_r
ARAT,Standard,0.4816756082351715,16.589550429187245,0.7234160868459685
ARAT,Adv,0.4916597147774304,16.428997280673066,0.7219077504758968
ARAT,Alt,0.44728233544734186,17.131108507964047,0.727575626363435
FMA,Standard,0.33171360614167866,17.47018520589279,0.6797415327132386
FMA,Adv,0.41032126336995733,16.41058010494247,0.6917926618986248
FMA,Alt,0.3534185465265737,17.184140746227335,0.6730953539145983
