dim,icc
0,0.9844455718994141
1,0.9726130962371826
2,0.9812689423561096
3,0.9835564494132996
4,0.9753034710884094
5,0.9894075989723206
6,0.9829494953155518
7,0.9272580742835999
8,0.9865753054618835
9,0.9757962226867676
10,0.9883374571800232
11,0.9889477491378784
12,0.8107433319091797
13,0.9579653143882751
14,0.9848052263259888
15,0.9707733392715454
16,0.9833362102508545
17,0.9863408803939819
18,0.970943033695221
19,0.9648193717002869
20,0.9606479406356812
21,0.9820426106452942
22,0.8597780466079712
23,0.9807422757148743
24,0.979613184928894
25,0.9793989658355713
26,0.9817467331886292
27,0.982722282409668
28,0.9764673113822937
29,0.9749721884727478
30,0.987607479095459
31,0.9769487977027893
32,0.9685962200164795
33,0.9881925582885742
34,0.9726271033287048
35,0.9891833066940308
36,0.989912211894989
37,0.9810946583747864
38,0.9890454411506653
39,0.9870453476905823
40,0.9757104516029358
41,0.9783937335014343
42,0.9735386967658997
43,0.9761795401573181
44,0.990008533000946
45,0.9793974161148071
46,0.8542660474777222
47,0.9885987043380737
48,0.933978259563446
49,0.9844339489936829
50,0.9822568893432617
51,0.9473435878753662
52,0.9703823328018188
53,0.9632251858711243
54,0.9873403310775757
55,0.9767764210700989
56,0.9886175394058228
57,0.9662488698959351
58,0.9650588631629944
59,0.9701444506645203
60,0.8809639811515808
61,0.9343807697296143
62,0.9586184024810791
63,0.9910199046134949
64,0.625497043132782
65,0.9216957092285156
66,0.9682459235191345
67,0.7623627781867981
68,0.9876708388328552
69,0.9808499217033386
70,0.9579882621765137
71,0.9338976740837097
72,0.9737544059753418
73,0.8773480653762817
74,0.937883198261261
75,0.9620169401168823
76,0.9616164565086365
77,0.9686132669448853
78,0.8535130620002747
79,0.93672776222229
80,0.9484292268753052
81,0.8869617581367493
82,0.9815471172332764
83,0.9433536529541016
84,0.9816184043884277
85,0.9492589235305786
86,0.9423242807388306
87,0.7985422611236572
88,0.9176472425460815
89,0.8953409790992737
90,0.9112465381622314
91,0.940475344657898
92,0.9732597470283508
93,0.8168419599533081
94,0.9813035726547241
95,0.7828059792518616
96,0.9287489652633667
97,0.9545345902442932
98,0.942009449005127
99,0.7924755811691284
100,0.9435866475105286
101,0.9870402216911316
102,0.9323397278785706
103,0.9632883667945862
104,0.9499150514602661
105,0.9077497720718384
106,0.8948182463645935
107,0.9698253273963928
108,0.9085725545883179
109,0.9714052081108093
110,0.9740235209465027
111,0.745026707649231
